,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,55V50,42251,246,5.98,487,367,4695.85,826.8,8.00039711,1.74257736,11.66234624,0.079735466,3
1,Wisconsin,Arlington,41730,55V50,41886,247,1.93,274,4,2905.11,253.4,16.93609555,9.84515842,23.23286032,0.078269646,1
2,Wisconsin,Arlington,41730,55V50,41886,249,2.45,275,1,3222.75,493.1,16.40959151,10.15103858,24.16326042,0.073479368,1
3,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,256,1.62,142,1,3079.67,479.6,20.70460712,16.37184781,25.82407246,0.281593348,1
4,Wisconsin,Arlington,41730,55V50,42249,247,9.51,520,364,4634.41,805.3,7.73742256,2.78169331,13.00132094,0.081746646,3
5,Wisconsin,Marshfield,42095,Vernal,42243,247,2.11,130,5,2742.59,497.9,16.19182233,10.48560999,24.89133225,0.07550467,1
6,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,259,2.67,140,367,3193.19,516.9,20.00197503,16.07246636,25.5561367,0.282795886,3
7,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,255,4.41,1028,368,3119.92,776.7,19.13964456,15.80558422,25.12613158,0.28947751,2
8,Wisconsin,Arlington,41365,55V50,42251,246,6.41,1082,359,4817.35,768.7,6.77158707,1.39344907,11.6929127,0.083745668,2
9,Wisconsin,Arlington,41730,Vernal,41886,245,3.5,130,1,2781.71,109.7,16.42105281,10.7298802,24.68893371,0.07748991,1
10,Wisconsin,Arlington,41730,55V50,9/15/2017,241,7.7,545,365,3099.31,747.4,18.94038896,15.72289966,24.31508792,0.075578489,3
11,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,259,2.06,174,1,4711.09,421.3,21.53068369,18.87832738,24.80527125,0.281171436,1
12,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,262,1.33,130,7,3001.25,433.1,21.1553256,17.25631765,26.68733959,0.275663045,1
