,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,41730,55V50,41886,244,3.53,242,1,2827.58,302.0,16.73723824,10.42648964,23.84013367,0.07,2.08282129,5.981551724,-1.079595361,1
1,Kentucky,Lexington,41730,55V50,42604,257,6.13,1215,362,4791.37,1043.2,21.72793323,16.56546008,13.68376188,0.292937064,2.08282129,5.981551724,-0.431888976,2
2,Wisconsin,Marshfield,41730,55V50,9/19/2016,234,2.23,152,2,2859.47,146.5,20.85963941,17.05535494,26.72201732,0.076028991,2.08282129,5.981551724,-1.719877481,1
3,Wisconsin,Arlington,41365,55V50,42604,234,8.53,1086,365,4559.57,1018.1,8.66657496,4.18842463,14.75593591,0.081472809,2.08282129,5.981551724,1.456529225,3
4,Wisconsin,Arlington,41730,55V50,42251,248,8.3,834,366,4656.96,703.3,8.99537497,2.63058693,14.31639108,0.078169916,2.08282129,5.981551724,1.016494842,2
5,Wisconsin,Arlington,41365,55Q27,42604,234,9.05,822,364,4624.8,1043.2,9.49610492,4.0501358,14.93902107,0.082421896,2.08282129,5.981551724,1.454282788,3
6,Kentucky,Lexington,41730,55V50,9/19/2016,260,2.14,166,3,2804.3,254.2,21.7388439,16.14328589,23.53870787,0.292207128,2.08282129,5.981551724,-1.700082889,1
7,Wisconsin,Marshfield,41730,55V50,41890,247,2.92,180,3,3157.79,484.8,16.58905072,10.1966459,23.45013213,0.08164447,2.08282129,5.981551724,-1.71682355,1
8,Wisconsin,Lexington,41730,55V50,9/19/2016,255,2.98,137,3,2614.74,999.6,21.16373494,16.86766552,25.55513182,0.286133571,2.08282129,5.981551724,-1.583709931,1
9,Wisconsin,Marshfield,41730,55V50,41890,246,1.32,211,3,2548.55,486.4,16.58814391,11.47093528,23.05097833,0.084527916,2.08282129,5.981551724,-1.210336313,1
10,Wisconsin,Arlington,41730,55V50,42604,231,8.04,853,365,4681.77,1026.9,9.33684512,3.80400864,13.23122507,0.082051946,2.08282129,5.981551724,1.060570335,3
11,Wisconsin,Arlington,41730,55V50,42604,235,9.42,458,365,4687.62,972.8,9.40646416,3.10096585,13.07542814,0.074987871,2.08282129,5.981551724,1.023912578,2
12,Wisconsin,Lexington,41730,55V50,9/14/2017,257,2.8,532,363,4592.1,764.8,21.78195146,17.54939351,23.97768483,0.078953393,2.08282129,5.981551724,-0.850274962,2
13,Wisconsin,Arlington,41730,55V50,42604,248,8.89,433,365,4622.21,780.0,9.72857445,2.38839393,13.2937423,0.083775291,2.08282129,5.981551724,1.146048531,3
14,Wisconsin,Arlington,41730,55V50,42249,246,7.77,513,366,4650.13,783.9,9.37159237,3.07851073,12.94202128,0.083595374,2.08282129,5.981551724,1.500508474,3
15,Wisconsin,Marshfield,41730,Vernal,41886,246,1.19,190,1,2965.87,284.3,15.84318206,10.54231074,22.95032129,0.071739851,2.08282129,5.981551724,-1.961316794,1
16,Wisconsin,Arlington,41365,55V50,42251,243,4.85,557,366,4611.21,767.8,7.14420857,1.91367962,12.15443841,0.086582583,2.08282129,5.981551724,0.2680518,2
17,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,257,4.83,1321,366,3406.83,828.0,19.83792425,14.86184697,23.25475026,0.285834947,2.08282129,5.981551724,0.172071989,2
18,Wisconsin,Marshfield,41730,55V50,42604,239,10.13,843,362,4661.01,1006.9,9.06730703,3.41720411,26.52717064,0.079203951,2.08282129,5.981551724,0.846013432,2
19,Wisconsin,Arlington,41730,55V50,42251,244,5.33,553,365,4683.18,783.8,9.45110088,4.180624,13.02538034,0.084037694,2.08282129,5.981551724,-0.595351419,2
20,Wisconsin,Arlington,41730,55Q27,41886,248,1.88,184,7,2608.04,109.7,16.46292699,11.07599346,23.53936218,0.07763444,2.08282129,5.981551724,-1.901717404,1
21,Wisconsin,Arlington,41730,55V50,41886,246,5.05,168,364,4561.94,707.2,7.45331433,1.96786905,12.3941275,0.084131554,2.08282129,5.981551724,-1.812717662,2
22,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,258,2.94,238,1,2533.41,641.7,21.29661426,17.33230077,27.84764318,0.279944545,2.08282129,5.981551724,-1.318760489,1
23,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,262,2.62,168,4,2538.05,964.7,23.79017857,17.00004863,27.4960868,0.288640078,2.08282129,5.981551724,-2.272132255,1
24,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,255,5.74,1159,366,4676.77,770.7,7.40777016,15.38820613,13.01970777,0.286273963,2.08282129,5.981551724,0.109052234,2
25,Wisconsin,Arlington,41730,55V50,41886,245,6.01,447,363,4677.93,799.3,7.03928711,2.51726607,13.0703219,0.076374272,2.08282129,5.981551724,1.725273571,2
26,Wisconsin,Arlington,41730,55V50,42604,237,8.95,912,365,4641.94,1028.4,8.36995549,3.15931745,13.47960843,0.080226641,2.08282129,5.981551724,2.053932743,2
27,Wisconsin,Arlington,41730,55V50,42251,248,6.79,519,366,4637.07,767.8,7.88144073,1.77387709,14.17989517,0.081842556,2.08282129,5.981551724,1.860627501,2
28,Wisconsin,Lexington,41730,55V50,41890,250,1.19,133,1,2847.06,109.7,23.75722706,16.08888132,26.2646123,0.08808832,2.08282129,5.981551724,-2.110350804,1
29,Wisconsin,Marshfield,41730,55V50,42243,237,3.1,255,2,2954.82,249.3,22.96007275,10.71861215,25.33204793,0.074397434,2.08282129,5.981551724,-1.996381974,1
30,Wisconsin,Arlington,41730,55V50,42251,244,7.19,532,363,4670.61,728.8,7.79842204,3.43097233,12.43743719,0.077694798,2.08282129,5.981551724,1.272581281,2
31,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,259,1.89,187,1,2584.43,412.0,22.09302177,16.47719574,23.88043359,0.279251884,2.08282129,5.981551724,-1.70974824,1
32,Wisconsin,Arlington,41730,55V50,42251,245,7.06,890,365,4656.87,814.7,7.1604106,2.88062996,13.22935984,0.082306355,2.08282129,5.981551724,0.93919138,2
33,Wisconsin,Arlington,41730,55V50,41885,247,4.2,847,364,4723.05,790.3,6.06714827,1.6783907,13.57936866,0.075039557,2.08282129,5.981551724,-0.02266199,2
34,Wisconsin,Arlington,41730,55V50,41885,251,8.54,516,362,3147.62,479.9,15.41120414,1.91106575,24.00136744,0.075524193,2.08282129,5.981551724,0.107211757,2
35,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,259,7.17,1125,361,3090.48,291.1,22.28581325,18.20041444,24.00615858,0.277519048,2.08282129,5.981551724,-0.102333562,2
36,Wisconsin,Lexington,41730,55V50,42604,235,1.51,214,363,4666.78,1043.2,8.5175382,4.28898686,14.33359444,0.07517728,2.08282129,5.981551724,-1.899365351,1
37,Wisconsin,Arlington,41730,55V50,42604,236,1.74,130,2,4636.06,1023.3,22.78963016,17.0713675,26.16177404,0.074347036,2.08282129,5.981551724,-2.080383464,1
38,Wisconsin,Arlington,41365,55V50,42604,236,8.58,768,365,4667.02,1031.6,8.9851871,2.99768913,13.96858435,0.083639066,2.08282129,5.981551724,1.335659302,2
39,Wisconsin,Arlington,41730,55V50,42249,245,8.79,533,363,4612.95,715.3,8.60411575,1.78523004,12.72667851,0.085057552,2.08282129,5.981551724,1.507060893,3
40,Wisconsin,Arlington,41730,55V50,42604,237,8.24,897,365,4637.95,1010.5,9.46025148,4.51756699,15.04365859,0.081200159,2.08282129,5.981551724,0.706670356,2
41,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,253,1.65,131,5,2775.08,1043.2,22.22990323,17.76028685,25.18667671,0.289894095,2.08282129,5.981551724,-1.900379678,1
42,Kentucky,Lexington,41730,55V50,9/19/2016,257,1.36,253,5,3075.94,444.7,19.18598207,16.24514384,24.94720552,0.283610746,2.08282129,5.981551724,-2.143742668,1
