,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,41730,55V50,42251,246,6.75,524,365,4680.65,743.3,6.53796749,0.35584275,11.50486836,0.075916931,2.08282129,5.981551724,0.324226127,2
1,Wisconsin,Marshfield,41730,55V50,41919,246,6.53,489,364,4636.04,814.1,19.56191094,14.14638681,24.89547165,0.072125561,2.08282129,5.981551724,-0.344914028,2
2,Wisconsin,Marshfield,41365,55V50,42251,260,4.71,523,364,4649.9,738.5,19.21600367,13.90879602,11.64384875,0.073276256,2.08282129,5.981551724,0.363733464,2
3,Wisconsin,Arlington,41365,55V50,41885,246,7.29,1200,364,4727.05,819.1,5.53982837,-0.03446625,11.37313736,0.079184491,2.08282129,5.981551724,-0.698697595,2
4,Wisconsin,Marshfield,41365,55Q27,41919,246,5.06,552,366,4716.64,826.2,6.26813626,0.04247099,11.29662407,0.07784184,2.08282129,5.981551724,0.460180378,2
5,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,264,4.93,243,363,3422.23,811.7,19.62926017,13.96319182,24.3531476,0.289209549,2.08282129,5.981551724,0.225127136,2
6,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,261,6.95,800,365,3541.23,755.4,19.99052977,14.95418651,24.91668507,0.292501596,2.08282129,5.981551724,0.299187738,2
7,Wisconsin,Arlington,41730,55V50,42604,236,9.81,513,366,4628.97,1039.2,6.51193687,1.20770563,11.79920194,0.076558099,2.08282129,5.981551724,1.997231627,2
8,Kentucky,Lexington,8/9/2012,Saranac AR,9/15/2017,258,5.99,831,363,3377.17,734.3,19.26924915,15.26008973,24.79677338,0.291218359,2.08282129,5.981551724,-0.29126226,2
9,Wisconsin,Arlington,41730,55V50,42604,245,8.35,503,366,4724.8,1026.9,9.6367393,4.30656249,14.38759284,0.076380287,2.08282129,5.981551724,1.418040528,3
10,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,257,6.32,815,363,3445.36,732.9,19.35360302,15.56302601,26.21339152,0.282934431,2.08282129,5.981551724,-0.085698155,2
11,Wisconsin,Arlington,41730,55V50,42604,233,9.4,944,365,4669.35,1018.8,9.4642581,4.61431969,14.42301518,0.079109212,2.08282129,5.981551724,-0.21898413,2
12,Wisconsin,Marshfield,41365,55V50,42240,234,6.48,852,365,4744.22,743.7,6.33348875,0.95125537,11.97998575,0.07910366,2.08282129,5.981551724,0.087697022,2
13,Wisconsin,Arlington,41365,55V50,42251,245,5.47,578,364,4639.07,755.2,6.49619323,1.11311767,11.89969872,0.07560661,2.08282129,5.981551724,0.368335825,2
