,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,41133,55V50,41885,246,6.58,814,365,4823.96,836.7,6.39799023,-0.3796366,11.48957742,0.07359895,2.08282129,5.981551724,-0.263201654,2
1,Wisconsin,Marshfield,41730,55V50,42240,234,6.05,530,365,4675.65,725.0,6.88528162,0.77016152,11.64798725,0.078324273,2.08282129,5.981551724,0.023033069,2
2,Wisconsin,Marshfield,41730,55V50,41919,247,6.61,198,364,4684.7,814.7,5.77718107,0.02779388,11.10040256,0.073126469,2.08282129,5.981551724,-0.253779901,2
3,Wisconsin,Lexington,41730,55V50,42251,246,6.16,733,366,4640.57,780.0,6.37135042,0.33620718,11.63549115,0.074786295,2.08282129,5.981551724,0.226024376,2
4,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,9/19/2016,256,2.25,173,365,4700.99,976.0,20.80970195,15.99323134,26.70250229,0.285032838,2.08282129,5.981551724,-1.776837295,1
5,Wisconsin,Arlington,41365,55V50,42251,246,6.44,839,365,4699.28,744.1,6.63025427,1.03063908,11.71557607,0.077834799,2.08282129,5.981551724,0.385705735,2
6,Wisconsin,Arlington,41365,55V50,41885,244,6.38,518,365,4759.37,817.7,5.93016794,0.11895195,11.14999598,0.075366115,2.08282129,5.981551724,-0.458158402,2
7,Wisconsin,Arlington,41730,55V50,42604,239,8.44,540,366,4617.28,1016.1,9.64803214,3.99374137,14.54897076,0.080490995,2.08282129,5.981551724,0.77470872,2
8,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,255,6.15,864,364,3473.98,997.8,18.9310462,13.92462145,24.43167695,0.290200162,2.08282129,5.981551724,0.310340609,2
9,Kentucky,Lexington,8/9/2012,GA-505,9/15/2017,259,4.88,130,364,3468.15,817.8,19.36342876,14.81923571,24.53798438,0.295369126,2.08282129,5.981551724,-0.933836396,2
