,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,8/9/2012,Mssunstra-C10,42243,246,4.62,1029,348,2104.21,716.1,6.39222288,11.81069592,15.60799707,0.103005678,2.08282129,5.981551724,-2.09010091,3
1,Wisconsin,Arlington,42095,Nuton Alf,9/18/2014,260,5.83,1008,364,3408.24,851.5,19.31753343,-0.52501626,16.74199825,0.289606101,2.08282129,5.981551724,-0.840639934,2
2,Kentucky,Lexington,41730,AFX095026,42251,269,7.23,130,356,4710.0,549.6,20.78126629,-0.53,29.25310714,0.279096338,2.08282129,5.981551724,-0.631913477,3
3,Kentucky,Arlington,41365,55V50,9/15/2017,267,8.77,388,67,2964.29,803.2,20.33405923,-0.53,15.38693346,0.077328944,2.08282129,5.981551724,0.912141705,2
4,Wisconsin,Lexington,3/31/2015,Contender,42604,257,1.19,1026,373,4593.85,852.6,17.41211463,-0.53,10.92,0.089543071,2.08282129,5.981551724,-0.6892117,1
5,Wisconsin,Arlington,42095,Nuton Alf,9/15/2017,258,8.25,525,363,1856.67,865.7,9.10645559,-0.53,23.20780735,0.290305795,2.08282129,5.981551724,0.569263402,3
6,Kentucky,Marshfield,41133,4030,42604,229,10.92,1301,350,3611.27,990.6,23.12830355,1.82199845,28.26193847,0.09043794,2.08282129,5.981551724,-0.74848074,1
7,Wisconsin,Lancaster,40664,PGI 212,8/20/2018,239,3.53,647,367,2368.43,748.6,17.67534623,10.04807259,13.47928257,0.085545192,2.08282129,5.981551724,1.072143202,2
8,Kentucky,Lexington,41730,6472A,9/13/2018,245,6.72,1157,373,3812.93,828.1,8.65508554,9.75335864,12.59301954,0.338679447,2.08282129,5.981551724,-1.33901094,2
9,Wisconsin,Arlington,4/12/2018,Saranac AR,42613,254,6.02,1112,382,3241.93,1043.2,6.22162965,2.40027592,15.14194508,0.108451033,2.08282129,5.981551724,-1.292589321,2
10,Wisconsin,Marshfield,41365,AFX095026,42251,257,6.41,973,371,4650.05,843.7,19.44504515,2.44466216,24.17595505,0.103512392,2.08282129,5.981551724,0.134186509,2
11,Kentucky,Arlington,4/5/2017,Mssunstra-C11,9/19/2016,274,5.75,570,366,3614.36,1043.2,19.99917557,-0.53,29.25310714,0.305368972,2.08282129,5.981551724,0.703588743,1
12,Wisconsin,Arlington,3/31/2015,FSG 403LR,41890,245,5.17,130,361,3340.95,1043.2,15.77511147,8.54636475,13.92111253,0.098842209,2.08282129,5.981551724,1.529512555,2
13,Kentucky,Lexington,41365, SW 4332 ,42247,253,8.42,130,384,2707.57,764.4,23.61835695,-0.53,15.36640813,0.305470604,2.08282129,5.981551724,1.134729451,2
