,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Marshfield,41730,Saranac AR,42243,232,3.66,2225,359,3555.7,791.1,8.68963484,4.29862088,27.38330474,0.096071291,2.08282129,5.981551724,-1.253065838,3
1,Wisconsin,Arlington,4/5/2017,Caliber,9/13/2018,263,1.77,1524,353,4807.68,819.1,7.18231703,4.05529357,27.86599017,0.110101497,2.08282129,5.981551724,0.883022272,3
2,Wisconsin,Arlington,3/31/2015,MSSUNSTRA-C12*,41885,234,5.64,2225,372,2043.46,931.1,19.88017713,-0.53,10.92,0.32750285,2.08282129,5.981551724,-2.151718005,2
3,Wisconsin,Lexington,41730,LS 905,41919,243,6.78,620,344,3698.39,669.2,20.34627591,8.86692427,12.06610851,0.7,2.08282129,5.981551724,0.161736664,2
4,Wisconsin,Marshfield,8/9/2012,Contender,42613,243,4.42,452,80,4823.96,776.2,21.64442347,0.096788,29.25310714,0.098623866,2.08282129,5.981551724,0.471833416,2
5,Wisconsin,Arlington,41365,FSG 403LR,42251,235,3.67,680,370,2284.16,980.6,11.22037277,18.87832738,26.28363023,0.086673539,2.08282129,5.981551724,1.530479606,2
6,Wisconsin,Arlington,41365, AFX  095026 ,9/19/2016,239,6.26,250,366,4590.92,877.2,8.29627356,18.87832738,14.28554915,0.092109791,2.08282129,5.981551724,-0.896165004,2
7,Wisconsin,Arlington,41730,GA-497HD,42249,246,4.13,343,362,3330.68,999.0,22.39481018,18.4425199,16.47484858,0.081470481,2.08282129,5.981551724,-0.840570104,3
8,Kentucky,Lexington,4/5/2017,Caliber,41885,254,1.47,815,343,4823.96,909.4,10.90740865,4.67732604,29.25310714,0.072235316,2.08282129,5.981551724,-0.495912047,2
9,Kentucky,Lexington,8/9/2012,MSSUNSTRA-D14*,42604,244,2.73,2225,357,2133.4,767.8,21.54493349,2.4885586,14.36348925,0.284594327,2.08282129,5.981551724,0.629151993,2
10,Wisconsin,Marshfield,41730,WL 365HQ,42613,262,3.3,658,348,4689.36,869.0,10.66432248,4.03301434,22.85645972,0.7,2.08282129,5.981551724,0.069561565,2
11,Kentucky,Arlington,8/9/2012,Mssunstra-B10,42249,247,7.24,1015,34,3154.03,605.4,20.97712407,18.33707339,16.77779361,0.070641706,2.08282129,5.981551724,0.673505926,1
12,Wisconsin,Marshfield,3/31/2015,Mssunstra-C11,42243,279,7.66,562,1,2104.11,810.2,23.79017857,5.3279516,25.74006017,0.07,2.08282129,5.981551724,2.447856808,2
13,Wisconsin,Arlington,3/31/2015,NF11ALF006,42604,267,5.86,1007,350,3631.96,802.9,7.14105029,0.8789705,11.95156968,0.301596055,2.08282129,5.981551724,0.221396017,2
14,Wisconsin,Arlington,41133,CW 085028,41885,262,9.0,995,369,4501.4,1039.9,22.82608671,4.64459008,12.68070383,0.089660321,2.08282129,5.981551724,-1.21945577,1
15,Wisconsin,Marshfield,4/5/2016,DSD05-T,42240,246,8.94,480,363,2297.65,1043.2,10.78604741,3.96900531,13.26718959,0.282944894,2.08282129,5.981551724,-0.779280427,2
16,Wisconsin,Arlington,41365,AFX 095023,41885,262,6.33,972,360,4823.96,891.8,20.24823326,-0.17832976,13.18458656,0.07,2.08282129,5.981551724,-1.32202716,1
17,Wisconsin,Lexington,4/5/2017,FSG 403LR,42604,244,6.34,956,61,4744.7,1043.2,6.7962885,11.10902939,14.57609721,0.079459068,2.08282129,5.981551724,1.203708519,3
18,Wisconsin,Lexington,4/12/2018,Saranac AR,9/16/2015,263,7.05,588,363,3431.95,981.5,7.7945191,13.43790843,10.92,0.094923981,2.08282129,5.981551724,1.403607957,1
19,Kentucky,Lancaster,41133,HYBRIFORCE-3400QR*,42613,233,5.92,2048,346,3733.25,859.6,20.76180386,6.16746997,13.00253518,0.082336915,2.08282129,5.981551724,-1.434189483,2
20,Kentucky,Marshfield,41730,AFX 095023,42251,237,9.13,140,1,4764.25,734.8,23.79017857,11.88719139,26.59468995,0.078020659,2.08282129,5.981551724,0.550403537,1
21,Wisconsin,Lexington,41730, AFX  095026 ,41885,280,8.41,224,362,3313.11,1043.2,23.05921967,2.07620115,25.21578246,0.309893749,2.08282129,5.981551724,2.002741391,2
