,Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,257423.0,1468.33,3.534753257,15.89591421,1
1,347373.0,760.17,1.67761792,14.59049663,1
2,153483.0,1321.94,3.085102623,12.88142875,0
3,352474.0,888.32,1.679386556,15.96497972,1
4,277430.0,604.4,2.576729186,14.64082318,1
5,355873.0,599.31,0.738479713,15.15801069,2
6,391609.0,1389.66,2.941193729,13.04764938,1
7,114947.0,1769.22,1.507320188,13.03339043,2
8,358056.0,1415.96,3.259339128,13.01600522,2
9,271080.0,1733.69,1.34989971,15.89007869,1
10,260423.0,586.86,2.807952079,12.67656564,2
11,133711.0,898.81,1.179521262,14.66836645,1
12,133348.0,1179.64,1.882567967,15.15810886,0
13,160022.0,586.86,1.673121468,13.05097397,1
14,254057.0,1312.93,3.512823733,12.81984887,0
15,242529.0,2337.35,2.651676816,11.2583727,0
16,138855.0,2024.78,1.053222189,14.8080383,1
17,151696.0,1133.96,2.589035319,16.96932266,2
18,375017.0,867.03,0.755555262,13.35010499,2
19,160177.0,826.99,4.886896113,16.27302619,2
20,145897.0,1512.46,3.607783105,15.24144353,0
21,354064.0,2189.86,2.021693398,15.65095318,2
22,371897.0,621.35,1.967994001,11.31607107,2
23,148787.0,654.79,4.644464255,17.20698799,1
24,128605.0,1380.71,2.845718389,13.25580016,1
25,346823.0,811.13,3.867240546,14.39253465,2
26,164607.0,1867.14,2.506618594,16.98257757,1
27,125676.0,587.42,1.316914851,13.38393744,2
28,139806.0,1142.82,2.841762465,16.20072711,0
29,265089.0,1727.62,3.399172763,12.59577569,2
30,347539.0,762.22,2.865954242,13.68693907,2
31,377271.0,709.22,2.968137917,13.25642867,2
32,154809.0,1156.89,1.540204189,14.84485472,1
33,254062.0,2356.34,1.954656199,12.957415,1
34,385784.0,895.05,2.43237641,17.73027397,1
35,282217.0,1345.4,0.836958833,17.01859173,1
36,117283.0,1873.75,2.943506204,15.44493564,0
37,145428.0,812.84,2.193124669,11.98587603,0
38,238473.0,2184.81,1.874250683,15.38268245,1
39,137821.0,586.86,3.057753579,12.31813142,2
40,148925.0,802.61,3.318318097,15.56719397,1
41,231505.0,809.24,1.679580696,14.90934154,1
42,126821.0,680.98,3.03031304,15.73047897,1
43,146412.0,1688.61,3.823206352,15.48106283,2
44,255932.0,2131.22,1.212318626,11.6800864,1
45,120576.0,1813.26,1.090832237,16.33136077,2
46,152663.0,1723.0,2.26260275,13.15743123,1
47,160838.0,1646.73,0.707649213,15.97111941,2
48,143835.0,1334.74,2.314471046,13.79178771,1
49,149024.0,846.92,1.339756219,13.87769833,1
50,274177.0,664.07,2.918974436,17.30173642,2
51,263373.0,816.07,2.939013249,12.36627079,2
52,144303.0,614.65,3.73150773,15.11279686,0
53,126531.0,586.86,2.773987317,11.91510206,2
54,223495.0,1434.27,0.756660234,13.93414548,0
55,281200.0,787.55,2.078486612,14.16398623,1
56,158542.0,867.0,3.692529285,15.79528269,2
57,264858.0,776.3,3.169642183,15.95346639,1
58,158996.0,784.57,3.008118368,12.85503199,1
59,119613.0,2141.74,1.158101962,15.99870166,2
60,133612.0,1230.26,2.658908556,11.96342042,2
61,251981.0,588.65,4.830354732,16.64763554,2
62,140270.0,648.6,0.720531347,15.41722568,2
63,148262.0,1515.19,2.707902811,16.87883881,0
64,126477.0,1878.59,1.857412379,15.71492428,2
65,375742.0,1463.83,2.033923186,16.27060191,1
66,141324.0,678.54,1.333132627,11.86065208,1
67,223606.0,773.91,1.694839709,11.59907327,0
68,124727.0,1305.42,1.613055276,15.22157085,1
69,145947.0,2025.89,2.203962131,15.67147971,1
70,151429.0,955.28,1.800793173,16.00161056,1
71,358522.0,702.85,0.24442896,14.82011824,1
72,251244.0,1172.04,1.6492773,15.46413212,1
73,229827.0,1901.57,2.881665453,13.61497727,0
74,124207.0,1826.22,2.599710552,15.14763455,1
75,270607.0,593.85,0.68019059,16.36943456,1
76,152606.0,1858.5,2.5306942,17.20007165,1
77,245874.0,1563.96,4.396837522,12.24793692,2
78,377442.0,590.79,1.008203643,13.89952835,2
79,143855.0,1760.54,1.920746865,13.4645017,2
80,247999.0,2144.09,-0.326393035,15.87596536,1
81,153140.0,1637.95,4.035238586,13.08087301,1
82,240838.0,1096.31,4.279089991,16.14903635,1
83,156753.0,2332.38,4.121730995,13.80050025,1
84,243546.0,892.99,3.059083614,14.53538714,1
85,142593.0,586.86,2.985103517,13.26901994,2
86,152449.0,957.09,2.899351521,13.45813864,2
87,243141.0,2152.84,3.244433308,13.47232817,1
88,146570.0,1754.41,1.853340427,16.18940515,0
89,355898.0,1131.85,4.016151771,14.76517496,1
90,148211.0,586.86,2.498464412,16.53503013,2
91,274257.0,1251.13,2.882690332,12.88141741,1
92,142134.0,780.37,2.988164177,17.73027397,1
93,277526.0,1178.81,1.770796054,17.01196506,1
94,358282.0,1717.31,1.55951396,12.14019837,1
95,253440.0,1754.64,0.5841268,15.90588096,1
96,122358.0,778.08,2.919404415,12.6165033,1
97,255948.0,672.94,0.832041043,14.96305602,1
98,165692.0,828.15,1.855842724,16.81311983,1
99,360471.0,723.64,1.217805824,13.72261516,1
100,142162.0,733.16,4.633825684,16.63973852,1
101,173843.0,965.16,2.558283567,16.52830664,1
