,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.343138574,0.427297416,15.4620606,2660.59,401282.0,0
1,1.275916663,1.467156216,13.10332731,2266.05,419955.0,1
2,1.299812855,1.457975621,12.70998375,4385.73,765586.0,1
3,1.782500779,1.511588856,15.48597683,5494.19,1072536.0,1
4,1.31757159,3.151407788,15.6348321,9117.82,1448539.0,0
5,1.040860545,2.678281173,15.30096935,4946.63,1070990.0,0
6,1.250839548,3.431006845,15.5404179,4605.07,1119604.0,1
7,1.474172706,3.506384806,15.91503461,7202.02,1068904.0,1
8,1.405186212,3.331994821,16.75199592,2979.54,444397.0,1
9,1.25166867,1.51129452,13.56709005,5247.12,1121853.0,1
10,1.440999046,1.296077591,12.37228867,5104.72,1082746.0,1
11,1.548422836,3.131284232,13.99025968,2912.55,736959.0,1
12,1.33108718,3.054357335,12.90575144,6708.37,1077334.0,1
13,1.538347071,1.527695989,16.36031928,2335.62,527415.0,1
14,1.386080019,1.385502078,13.35205671,3886.5,735068.0,1
15,1.110704065,2.094330127,14.2417415,2286.73,514997.0,1
16,1.525808489,3.465376334,16.20028921,8740.51,1506184.0,1
17,1.850186887,3.297213468,15.29824022,5770.5,542177.0,2
18,1.251898526,1.466186755,13.99019659,5321.47,1092882.0,0
19,1.419123978,1.438185645,16.65938804,2586.66,1054773.0,1
20,1.244828733,2.525838058,16.21502855,2081.81,447582.0,0
21,1.020210213,0.562578872,15.28936008,2611.72,474034.0,0
22,1.21838949,3.003974596,16.10157893,5177.64,479527.0,0
23,1.795374825,2.021797932,15.95605959,5656.8,1094139.0,0
24,1.363679411,3.259203709,15.81203643,5402.89,574086.0,0
25,1.352416513,3.111250723,15.53038826,1942.04,497388.0,0
26,1.367302908,2.41719644,14.0435453,5316.89,758722.0,1
27,1.406797976,3.038833758,16.00609085,2273.27,428057.0,0
28,1.264582892,1.629204616,15.24559705,4822.3,522767.0,1
29,1.058916593,3.112469567,16.10334224,2725.85,502601.0,0
