,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
0,1.147936341,3.470722385,16.7914866,10664.74,560769.0,1,1.452725263,0.429985311,-0.850563558
1,1.535639186,3.337827876,15.63759172,4183.49,565105.0,1,1.452725263,0.429985311,-0.17980392
2,1.187565707,1.510925937,15.43168545,5874.86,1056005.0,1,1.452725263,0.429985311,-0.852538023
3,1.542110555,3.343718355,15.87703742,4469.88,1062404.0,1,1.452725263,0.429985311,-0.162169927
4,1.099759165,3.967634992,15.62866411,6845.59,1040004.0,1,1.452725263,0.429985311,-0.150046149
5,1.226673979,2.793174309,16.15242385,2064.15,495593.0,1,1.452725263,0.429985311,-0.582359874
6,1.641444381,2.855375488,15.99546056,2542.54,538397.0,1,1.452725263,0.429985311,0.039806657
7,1.778388188,3.374847544,15.89186503,8279.49,562328.0,2,1.452725263,0.429985311,0.963923887
8,1.627913582,3.192308825,15.39970295,5164.23,535042.0,2,1.452725263,0.429985311,1.273610427
9,1.274395885,3.482759564,16.73623707,2166.95,574794.0,1,1.452725263,0.429985311,0.264757022
10,1.587028218,2.822243608,15.90987508,4604.14,597111.0,1,1.452725263,0.429985311,0.553177992
11,1.680992887,3.237021566,16.03324819,3034.77,463930.0,1,1.452725263,0.429985311,2.52313206
12,1.601638771,3.263123107,16.12380273,2890.9,540008.0,1,1.452725263,0.429985311,0.627332156
13,1.248914919,4.032111034,15.90665824,10435.21,1075747.0,1,1.452725263,0.429985311,-0.81523814
14,1.332991033,3.576088439,15.48557051,4898.88,416137.0,1,1.452725263,0.429985311,-0.08090234
15,2.151964267,2.56743083,15.45960309,5908.14,1112879.0,1,1.452725263,0.429985311,-0.223518103
16,1.365913262,1.480573007,13.3923652,4385.52,546911.0,1,1.452725263,0.429985311,-0.708081921
17,1.047053685,1.476596989,14.03161707,2281.68,1049603.0,1,1.452725263,0.429985311,0.069892044
18,1.250226523,3.216310779,16.19698508,2827.68,491790.0,1,1.452725263,0.429985311,0.531206559
19,2.058543404,3.121360275,14.98106837,2609.08,1007039.0,1,1.452725263,0.429985311,0.046678948
20,0.929569441,3.746992323,16.08424379,2154.51,640566.0,1,1.452725263,0.429985311,-0.766191209
21,1.620714019,1.034017676,13.41212867,4480.75,728886.0,1,1.452725263,0.429985311,0.078315033
22,1.189596037,1.38183858,13.2521897,4553.39,740231.0,1,1.452725263,0.429985311,-0.496509343
23,1.378383402,1.48977341,13.33623991,5465.24,1091652.0,1,1.452725263,0.429985311,-0.192891321
24,1.137363037,3.536087097,15.70134493,2635.33,1052798.0,1,1.452725263,0.429985311,0.151967649
25,1.990774144,2.707856405,15.61653338,2776.0,526892.0,1,1.452725263,0.429985311,0.225108546
26,1.005840547,3.120369065,13.12534959,2668.21,759640.0,1,1.452725263,0.429985311,-1.018920746
27,1.559941253,2.857619902,15.36980535,5466.26,487776.0,1,1.452725263,0.429985311,-0.434347381
28,1.484555709,1.399803108,13.49262082,4466.52,753590.0,1,1.452725263,0.429985311,-0.660041079
29,1.189614765,2.864962386,15.83369473,3155.52,455646.0,1,1.452725263,0.429985311,-0.177523663
30,1.117027609,3.836755152,16.09475974,9353.09,1033752.0,1,1.452725263,0.429985311,-0.527435483
31,1.118944439,1.382975214,13.57953689,5262.6,1072534.0,1,1.452725263,0.429985311,-0.804585319
32,1.838780881,3.092804463,15.74752821,9110.45,1376843.0,1,1.452725263,0.429985311,1.489406428
33,1.510204709,1.382776778,13.18112141,4181.76,750074.0,1,1.452725263,0.429985311,-0.106772879
34,1.122533692,1.209935341,12.41562858,4361.59,745861.0,1,1.452725263,0.429985311,-0.673282559
35,1.704865104,3.270021489,15.68965066,2320.96,429009.0,1,1.452725263,0.429985311,0.092824279
36,1.601148294,3.661685041,15.99214432,7849.96,1038196.0,1,1.452725263,0.429985311,0.5627122
37,0.960523631,3.835965556,16.07144393,2361.41,540613.0,0,1.452725263,0.429985311,-0.903821291
38,1.41520855,3.221255353,15.76442443,4622.68,510834.0,1,1.452725263,0.429985311,0.286803833
39,1.01052227,2.722582429,12.81693502,3080.2,769596.0,1,1.452725263,0.429985311,-0.902954503
40,1.299236626,1.25785853,12.27450117,5101.6,719719.0,1,1.452725263,0.429985311,-0.321337379
41,1.132971054,1.398986562,13.75882312,4671.92,1063042.0,1,1.452725263,0.429985311,0.404791733
42,2.075746907,2.604965655,15.70079517,2733.76,479638.0,2,1.452725263,0.429985311,0.823336415
43,1.526718644,1.590471001,15.6071548,4664.38,545376.0,1,1.452725263,0.429985311,-0.167736757
44,1.400791658,3.138119268,15.67815972,4697.9,564407.0,1,1.452725263,0.429985311,-0.374637983
45,1.54893438,1.451630791,15.59157589,5523.97,1066133.0,1,1.452725263,0.429985311,-0.453057409
46,1.256023318,3.008220807,15.6238705,3856.4,534357.0,1,1.452725263,0.429985311,-0.233659265
47,0.949742542,3.189344638,16.07585091,4224.49,738320.0,1,1.452725263,0.429985311,-0.849019831
48,1.73340311,3.329998127,15.86929176,2893.72,500425.0,1,1.452725263,0.429985311,0.571260834
49,1.327058141,3.298400806,16.37191564,4292.55,435430.0,1,1.452725263,0.429985311,-0.515027667
50,1.28806746,3.451191817,15.73502912,2064.15,439044.0,1,1.452725263,0.429985311,-0.441507345
51,1.398919375,3.062021878,15.98684745,4684.81,529623.0,1,1.452725263,0.429985311,-0.416331721
