,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
0,1.432264346,1.462845161,16.27607655,4570.87,1101947.0,1,1.452725263,0.429985311,-0.858642989
1,0.886831363,2.621467011,12.94555934,2064.15,998816.0,1,1.452725263,0.429985311,-0.163032324
2,0.655430685,3.484828118,16.40976204,2711.66,1129836.0,1,1.452725263,0.429985311,0.315937751
3,1.0185977,4.032111034,15.96813845,2704.44,1055378.0,1,1.452725263,0.429985311,-2.363007689
4,0.626641868,2.933283689,15.49756847,4180.72,391732.0,1,1.452725263,0.429985311,3.978294206
5,0.603535282,3.907840319,12.50743682,5349.17,1000731.0,1,1.452725263,0.429985311,0.412524874
6,1.674573525,1.519123931,16.65364214,5120.74,1081453.0,1,1.452725263,0.429985311,0.641661965
7,0.968584265,3.427306879,16.04076716,3428.11,996507.0,1,1.452725263,0.429985311,-0.890247959
8,3.163333333,4.032111034,16.07480531,6107.71,697040.0,1,1.452725263,0.429985311,-0.206401924
9,1.997083278,4.002812612,16.48701856,5661.15,983786.0,1,1.452725263,0.429985311,-1.147677698
10,0.880350293,3.620079244,16.00579016,4874.79,1128038.0,1,1.452725263,0.429985311,-0.104277539
11,0.627060064,2.905389651,16.85328339,4916.57,984597.0,1,1.452725263,0.429985311,-0.950847247
12,0.826033628,3.598053796,15.94347697,3551.79,678938.0,2,1.452725263,0.429985311,-2.008566803
13,0.755783766,3.874933368,15.63441221,5914.62,761859.0,1,1.452725263,0.429985311,0.15862745
14,1.715015079,1.441564513,14.36886031,9851.51,1039790.0,2,1.452725263,0.429985311,-0.178840041
15,0.954929305,1.592084385,16.70349305,5149.37,391732.0,1,1.452725263,0.429985311,0.606401773
16,1.19204392,3.834467994,16.74110439,2191.25,391732.0,1,1.452725263,0.429985311,-1.423332862
17,1.984483273,3.964876511,13.31005221,5037.97,711124.0,1,1.452725263,0.429985311,-2.363007689
18,2.028467893,3.214604398,16.39770396,2961.74,1019988.0,1,1.452725263,0.429985311,-0.233694384
19,1.502112657,3.427725414,13.45885191,2064.15,573475.0,1,1.452725263,0.429985311,1.083560613
20,2.083953313,2.540076385,15.18360028,2504.69,1006071.0,2,1.452725263,0.429985311,1.245483319
21,1.365132236,3.484579947,16.52278514,2064.15,696249.0,1,1.452725263,0.429985311,0.224198677
22,0.835602304,3.090546219,16.11681401,10868.63,1515469.0,1,1.452725263,0.429985311,1.172630678
23,1.088630085,3.937705604,16.67329582,2064.15,432779.0,1,1.452725263,0.429985311,0.582368038
24,1.255198164,4.032111034,13.24398421,4626.92,1337478.0,1,1.452725263,0.429985311,-1.126719352
25,2.587863607,2.3312472,15.35305483,8521.04,722194.0,1,1.452725263,0.429985311,1.503961019
26,0.472758334,3.392372706,16.85328339,4784.05,981544.0,1,1.452725263,0.429985311,0.098983684
27,0.623997601,4.032111034,15.30246055,2430.87,906352.0,1,1.452725263,0.429985311,-0.646623641
28,0.436666667,2.824251093,15.23287167,5058.42,951457.0,1,1.452725263,0.429985311,-1.143877911
29,0.436666667,4.032111034,14.30039636,4088.51,956060.0,0,1.452725263,0.429985311,-0.555558938
30,1.571481777,3.134275646,13.9639852,10927.6,1387796.0,1,1.452725263,0.429985311,-1.240392593
31,1.925627138,3.25636748,16.85328339,7871.98,812649.0,2,1.452725263,0.429985311,-0.780890464
32,2.114891036,2.869468088,13.04262102,2064.15,1488915.0,1,1.452725263,0.429985311,-0.983643034
33,2.229317303,4.032111034,13.14535575,5732.04,391732.0,1,1.452725263,0.429985311,-1.558144451
34,1.922245046,3.313019886,16.85328339,6280.84,1473625.0,1,1.452725263,0.429985311,-1.699659186
35,0.965327571,3.902800418,16.02950533,6755.6,793751.0,2,1.452725263,0.429985311,-0.229985912
36,2.108028437,2.152100313,15.39608931,6453.33,1023441.0,1,1.452725263,0.429985311,0.999165984
37,1.165378866,3.357772826,15.93977568,3735.76,1069959.0,1,1.452725263,0.429985311,-1.57388811
38,0.931510206,3.579664954,13.02095538,3706.84,902531.0,1,1.452725263,0.429985311,-0.240702539
39,1.19803409,4.032111034,14.73548888,5524.83,391732.0,0,1.452725263,0.429985311,-0.11708196
40,1.862371995,4.032111034,16.85328339,6138.64,725806.0,1,1.452725263,0.429985311,-1.150798465
41,1.009938674,4.032111034,16.12768227,3726.47,1011528.0,1,1.452725263,0.429985311,-0.016119942
42,1.215951639,3.597700186,16.00350116,5211.16,471604.0,2,1.452725263,0.429985311,-0.975633119
43,1.294805788,3.337171953,16.23036992,5044.05,1035300.0,0,1.452725263,0.429985311,-0.203956942
44,1.308773503,3.96066523,16.55261979,4703.55,1318087.0,1,1.452725263,0.429985311,-0.607738452
45,1.566113291,3.886577543,14.89588521,3672.11,929461.0,0,1.452725263,0.429985311,-2.363007689
46,1.67443625,2.474407811,14.40019722,6182.85,650854.0,1,1.452725263,0.429985311,1.473437292
47,1.035399515,1.454472255,16.84599064,5100.54,1366203.0,1,1.452725263,0.429985311,-0.555278039
48,1.497262121,1.811213166,15.36664865,2616.7,725621.0,2,1.452725263,0.429985311,-0.882205873
