,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,3534.31,723.2,19.95715049,16.0646125,26.45647007,0.2729625,2
1,3353.14,839.2,23.79017857,16.12096841,26.08070958,0.28750749,2
2,3480.93,789.3,20.98385007,15.44882827,25.61986179,0.276205792,2
3,3302.74,838.4,20.1474764,14.41880372,26.35114439,0.273862754,2
4,3516.34,683.5,19.15965733,14.98715705,26.16168093,0.283675776,1
5,3577.96,801.0,20.98393044,15.8672985,25.38248973,0.285555442,1
6,3561.92,727.0,19.93378693,13.45884945,27.87222897,0.288173054,2
7,3411.07,723.4,20.50420115,12.61707097,26.58198344,0.275636178,2
8,3249.7,713.8,18.62096144,14.60495859,26.50603592,0.291597265,2
9,3362.25,985.8,20.31138221,14.68989302,26.12672899,0.295640126,2
10,2459.1,404.0,21.27296869,16.64687016,24.45385939,0.275166611,2
11,3519.76,781.1,23.79017857,15.89416605,26.37666762,0.274523948,2
12,3141.47,610.2,18.81901549,15.68524157,26.28486298,0.289698879,2
13,3243.42,814.5,19.82401544,15.62775413,25.41718734,0.290327069,1
14,3469.23,895.6,19.64576783,16.24351804,26.18649024,0.287988656,2
15,3125.22,411.1,19.28147194,15.66378801,25.8580631,0.292075267,2
16,3559.14,838.0,20.53903224,16.66399501,26.52239033,0.290206692,2
17,3509.18,490.4,19.85452272,12.61707097,24.94259994,0.28948489,2
18,3667.05,800.8,19.53579574,15.88980699,25.37616911,0.279014148,2
19,3788.49,766.1,21.12335406,13.38788432,26.08815875,0.286536498,1
20,3197.82,826.0,19.96797211,12.61707097,25.75889269,0.29305884,3
21,3594.38,784.3,20.65422163,13.22578916,25.61188169,0.284325474,2
22,4520.12,404.5,19.12619852,15.19191489,25.88531766,0.286174534,2
23,3555.25,646.6,22.66522453,15.28914216,26.05963644,0.293741385,2
24,3292.27,404.0,19.77646449,13.28338342,26.38528634,0.287873247,1
25,3243.66,472.8,17.60733333,16.42048108,28.86429241,0.296147817,1
26,3548.72,536.9,20.96111723,14.45136196,29.23084302,0.284804838,2
27,2119.84,701.5,20.25673316,14.91737517,26.54454138,0.289320715,1
28,2065.24,426.6,20.43126159,12.61707097,25.98937371,0.2729625,2
29,3551.41,1043.2,19.17703573,12.64522844,26.00063435,0.2729625,3
30,3303.98,765.4,18.60782117,15.06216219,25.14827207,0.277822451,2
31,3448.52,424.6,20.84136188,14.94098978,25.48599706,0.287398831,2
32,3500.41,687.8,20.84648339,15.561908,26.48456552,0.293746266,1
33,3673.36,404.0,19.21783938,15.71639943,25.52478055,0.302827941,2
34,3239.98,735.9,19.59457003,12.61707097,26.50737662,0.292407484,2
35,4353.6,867.1,18.91249115,15.49362831,26.3820455,0.276968952,3
36,2271.28,895.0,18.68207383,14.26170093,25.45687632,0.278068729,1
37,3585.0,647.9,17.60733333,15.03151814,24.51340404,0.273406982,2
38,3655.93,521.6,19.67955542,15.16397109,25.75725104,0.291989652,2
39,3469.75,833.5,19.49059888,18.87832738,25.48073515,0.286896704,3
40,2629.46,765.4,19.72606625,16.35917653,24.06895435,0.293901042,3
41,3588.63,796.3,19.37328644,15.53400273,25.33607862,0.273765779,2
42,3475.61,460.8,21.07149495,16.27785482,25.61444881,0.278600847,1
43,3363.55,783.2,19.82322236,14.37268191,25.63926833,0.294582564,1
44,4706.35,404.0,20.17119632,15.20572844,25.37832981,0.288636427,1
45,3540.1,785.6,19.52528282,15.77413476,25.13268137,0.281610497,2
46,3523.09,404.0,20.03693683,14.48629057,23.70920516,0.287794722,2
47,3467.07,703.7,19.85231363,15.88950661,26.47371609,0.291819639,2
48,3243.44,577.9,18.1887939,17.60670944,22.59871398,0.287835615,2
