,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,3378.59,790.6,20.60658448,14.6817268,26.17395012,0.291746603,2
1,3436.92,719.5,20.21948908,15.26068856,25.3877611,0.289927353,2
2,3282.71,835.6,21.04183686,16.05321067,25.95976017,0.297156016,2
3,3426.6,811.0,17.60733333,13.04765797,22.92611709,0.302282743,2
4,3322.55,817.5,20.51866301,15.06099803,25.45384071,0.291291427,2
5,3421.17,875.8,19.70937048,14.82148354,25.64774926,0.28967025,2
6,3478.49,487.5,20.71875436,15.13992564,25.70075122,0.275608668,2
7,3383.14,802.3,19.11994012,14.71213949,24.47539889,0.28198324,3
8,3384.81,530.6,20.75940451,16.08652122,26.12735274,0.276446717,1
9,3430.54,802.2,20.93384612,14.99138064,25.54206304,0.298399118,2
10,3392.11,712.6,19.47240161,14.38428002,24.70649845,0.287532371,2
11,3297.31,797.3,20.8923154,16.24638793,26.09226405,0.296647179,2
12,3225.7,795.0,20.64454564,15.79313843,25.7343547,0.297851842,2
13,3277.21,964.2,20.67708584,16.210854,26.13458404,0.278915347,2
14,3356.62,830.8,20.62944507,16.02194012,25.36386181,0.297995561,2
15,3312.28,816.0,20.59394952,15.9068224,26.08858321,0.279252493,2
16,3439.42,729.9,19.74359332,14.63918294,25.11753676,0.288303185,2
17,3316.65,821.5,20.31072281,15.76765282,25.71708346,0.299211579,2
18,3357.53,818.0,20.47061478,15.038552,25.86756227,0.284240625,2
19,3441.46,552.2,19.29607566,14.95126763,25.86174547,0.289421106,2
20,2451.66,404.0,22.63203707,17.86503427,27.92518366,0.278313085,1
21,3456.75,671.3,20.42102623,14.78858695,26.06056629,0.281311185,2
22,3410.65,609.0,20.05549641,14.74664223,25.89481438,0.27953536,2
23,3424.92,541.3,20.59003399,15.22984895,25.91431818,0.277542294,2
24,3355.85,830.4,21.12236717,14.68240174,26.21068262,0.279638048,2
25,2376.43,413.9,22.9745439,18.46107537,27.93243742,0.278237578,1
26,3478.29,712.8,19.44456711,14.69521002,25.48844588,0.290536278,2
27,4549.77,806.1,20.91790018,16.2153299,26.10181238,0.280655196,2
28,3399.59,673.6,21.33530784,14.70432811,26.07666417,0.279906523,2
29,3319.57,820.7,20.6532583,16.0329783,26.34904836,0.297360589,2
30,3326.69,953.3,19.74231505,14.37055785,25.77728059,0.275814339,2
31,3381.33,817.2,20.62288793,15.99391928,25.61249805,0.299976253,2
32,3413.0,811.4,20.0938534,14.62012568,24.78801282,0.313480989,3
33,3377.35,776.9,20.16062318,14.51623762,25.29103706,0.299886135,2
34,3386.38,801.4,21.15238848,14.92012203,25.9930564,0.279943897,2
