,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.508454406,1.703780341,16.0660171,5727.64,1095777.0,1
1,1.088899351,3.153138474,15.9074252,9303.94,1061087.0,0
2,1.195839567,3.409602817,16.59766811,5269.63,462802.0,1
3,1.318748578,2.581175344,15.79470325,4653.9,1075416.0,1
4,1.215358123,2.545199244,16.22920609,2608.54,448985.0,1
5,1.459247873,2.658475796,15.97565294,2709.73,486957.0,1
6,1.505654937,3.821594587,16.17114047,4214.51,530352.0,1
7,1.24280479,2.381449447,15.06483927,2416.74,486855.0,1
8,1.529602562,2.696413221,16.41830949,9751.95,1479709.0,1
9,1.130096126,1.481373498,11.92597729,5103.94,734424.0,0
10,1.536294847,2.981232781,13.5995326,2297.06,1078939.0,1
11,0.604546363,0.754890229,13.57195558,7034.63,1035860.0,0
12,1.234647717,1.427586393,12.97385836,4351.49,1097041.0,1
13,2.556607678,1.518388701,14.96948208,3644.53,1035312.0,2
14,1.302801756,1.667694918,15.49667246,1942.04,498398.0,1
15,1.39445067,3.388709386,16.59623618,2659.05,1046053.0,1
16,1.337124641,3.207568597,16.70655773,2327.44,524606.0,1
17,1.085566616,1.241819424,13.06449564,5545.04,773317.0,0
18,1.285093284,1.490322832,15.36960477,4352.5,483481.0,1
19,1.488889019,3.089152105,16.08062914,9571.42,1492976.0,2
20,1.44881356,1.473365068,13.32836366,5536.36,787687.0,1
21,1.695873325,3.470124733,16.43010305,2989.76,423016.0,1
22,2.342900156,1.463187649,12.62947448,5697.87,1094446.0,2
23,1.665018038,3.403140171,13.02117256,2910.62,1032861.0,2
24,1.084330853,2.966746612,15.73990732,2359.85,471503.0,1
25,1.390046411,2.695839693,15.30629464,3968.01,565823.0,1
26,1.310952635,2.221379559,16.04021012,2797.61,493817.0,1
27,1.279212793,1.162052218,14.19637869,3344.06,532710.0,1
28,1.950973667,0.47286553,14.01414671,2936.66,423704.0,1
29,1.107278074,1.795347799,15.93357064,7401.9,1071424.0,1
30,2.13101815,2.492601435,14.86021156,2779.29,482648.0,1
31,1.294486909,3.269140686,16.56498235,9405.57,1439052.0,0
32,2.675483605,3.611070407,15.70344549,2783.0,452327.0,2
33,1.562324499,3.564355782,15.91203083,5086.45,1090427.0,1
34,3.163333333,2.618920458,15.22349813,4855.27,743340.0,2
35,1.614716061,2.489862197,13.47389289,5511.44,766264.0,1
36,1.389814965,1.42214548,14.27533924,2590.79,1016411.0,1
37,1.060730475,3.423591327,15.37138812,5387.37,799528.0,0
38,1.308551602,1.45733034,12.84024771,4343.11,778945.0,1
39,1.196756064,1.457534262,16.10784318,5861.03,1087480.0,1
40,1.157749188,2.278224019,15.24992318,4060.4,485981.0,1
41,1.049457111,1.645324309,13.1955514,4685.59,756719.0,1
42,1.191014927,1.634428752,15.79526305,2727.86,503459.0,1
43,1.186229662,1.486675976,12.11102699,2994.61,1065058.0,1
44,1.486658464,2.657586635,16.33759727,3107.58,439133.0,1
45,1.36612327,1.3900598,15.70912487,3940.71,479974.0,1
46,1.541712232,2.838987263,15.9527691,6703.94,1051548.0,1
47,1.335100477,1.388964369,13.27863329,5041.45,1044077.0,1
48,1.308135722,2.805416148,16.3330538,5363.8,769337.0,1
49,1.506317487,0.375517842,12.18966977,3274.23,520689.0,1
50,1.164896067,3.217733582,13.80009113,2405.67,537833.0,0
51,1.270495508,1.697861918,12.23761991,2627.64,466170.0,1
52,2.244676709,2.756995957,13.17406984,2814.64,454835.0,2
53,1.618537512,4.032111034,15.07049307,5399.31,1492383.0,2
54,1.209259107,1.439122022,12.96802243,6812.1,1073523.0,1
55,1.37498794,1.802139431,15.48347256,2530.13,512624.0,0
56,1.005076289,1.40086835,12.48799705,4655.89,752286.0,0
57,1.157032682,1.244249111,13.87388499,4625.61,777047.0,1
58,1.099619065,1.399362133,13.21579964,5928.78,1123180.0,1
59,1.368509185,1.468350621,14.93920052,3091.97,548845.0,1
60,1.75647887,1.413105548,15.26598157,3128.2,502636.0,1
61,1.516416182,3.017041581,15.32898087,4453.67,553867.0,1
62,1.56783743,2.79578933,15.21863807,7936.07,1512220.0,2
63,1.372245224,2.22990651,13.4112475,8019.19,1064964.0,1
64,1.182995619,1.48745641,15.53944002,2827.27,518057.0,1
65,1.181586499,2.835280917,16.19582809,2363.7,515423.0,0
66,1.123592806,2.292872283,16.60185548,2172.78,455656.0,1
67,1.691686091,1.455811922,12.85866642,6863.4,1080147.0,1
68,2.378645536,1.520182867,13.36291854,5876.19,1054718.0,2
69,1.418935267,3.929691845,16.53444056,7103.26,1073880.0,1
70,1.190915361,1.575661209,11.78054622,2947.43,583269.0,1
71,1.537564288,2.791782165,15.36832239,9626.9,1513530.0,0
72,1.603549522,2.841524575,15.32085443,9360.01,1468328.0,2
73,1.271753819,2.912544545,16.3705415,2568.19,473003.0,0
74,1.444638622,1.578401393,15.44311429,4119.27,762527.0,1
75,1.591339005,1.5262977,15.56628851,2066.66,541837.0,2
76,1.69317017,3.854165471,16.1021658,5403.04,1100520.0,1
77,1.501672004,3.481612295,15.84217434,4412.91,511419.0,1
78,1.109198066,1.361662676,12.00860612,4519.77,1087209.0,1
79,1.542517706,0.249995175,13.1911096,10747.62,1092277.0,2
80,1.320779598,1.350780088,12.81871704,5769.29,1078568.0,1
81,1.541245275,2.977249322,15.48749394,9237.78,1428253.0,2
82,1.242947241,1.478318346,15.78665777,5465.64,772986.0,0
83,1.278595785,1.842531175,15.83384825,5562.2,1042985.0,1
84,0.804502199,1.252545885,12.67613272,5301.97,761119.0,0
85,1.312436767,3.386303901,16.80565391,2482.86,523180.0,1
86,1.611322141,2.706926403,13.25523762,2668.25,484854.0,1
87,1.335154462,3.79504104,16.44483473,3239.51,442535.0,1
88,1.107389941,4.032111034,16.04957684,8619.05,1484880.0,0
89,1.445376465,1.525597323,15.3672402,2356.29,546875.0,0
90,1.29097567,3.32216371,16.64041542,2229.48,494236.0,0
91,0.927920174,3.083535818,16.85328339,9368.82,1457419.0,0
92,0.57604235,2.838947561,15.02876287,11113.79,1437589.0,2
93,1.220057781,3.68242285,13.43094294,7260.19,1048618.0,1
94,1.304696709,3.47159429,15.72545868,2652.73,541549.0,0
95,0.965511079,1.484733917,12.87444351,4212.33,743835.0,1
96,1.068349883,3.081827856,14.29820201,5934.55,1078492.0,0
97,2.426016414,2.568702069,16.00158399,4896.33,530347.0,2
98,1.196455245,1.243295961,12.13296172,4531.71,764129.0,1
99,1.256447926,1.553286804,13.16974248,4139.18,789290.0,1
100,1.358701623,1.37252402,13.14659853,4042.41,733958.0,1
101,1.155800594,3.446153423,16.59588858,2404.94,493851.0,0
102,1.668674696,3.652717191,15.53884318,2527.46,432408.0,2
103,1.27059591,3.912619002,16.68530521,2394.96,416288.0,1
104,1.834438644,2.428767441,14.31950184,3334.91,1068242.0,1
105,0.972993105,0.668000318,12.80879396,7388.26,1064863.0,0
106,1.245418074,2.645520988,12.57866871,2840.42,417658.0,0
107,1.142935136,3.085117153,15.64446149,4598.59,521141.0,1
108,1.378790498,2.731505768,16.34861895,2329.19,391732.0,1
109,1.504630387,4.032111034,16.30979018,4631.86,1055464.0,1
110,1.353604855,1.389017999,13.20373514,3952.82,761610.0,1
111,1.319912095,2.770188685,15.48149428,4271.67,771106.0,1
112,1.361040955,2.584763234,15.69240613,2620.69,474090.0,1
113,1.815562414,1.325865266,13.0321975,5321.4,1062724.0,1
114,1.121357673,3.306486615,14.78288359,8973.67,1015303.0,1
115,1.473387332,1.301600049,13.40994486,5890.54,1072782.0,1
116,1.433707308,3.621070263,16.02155983,2649.98,498945.0,1
117,1.443261344,3.356747722,15.52666161,3156.91,504737.0,1
118,1.179777671,1.43618916,14.95246311,4332.13,465416.0,1
119,1.379676256,2.960911545,16.30070664,9347.72,554781.0,0
120,1.341833447,2.795261293,12.72371656,4587.19,726221.0,1
121,0.754802561,3.962540216,16.26704846,9932.07,1515469.0,0
122,1.103031792,2.867852982,14.87544587,5727.15,1076784.0,0
123,1.165258758,2.982647406,13.40873134,5644.82,1094869.0,0
124,1.104613275,3.026083806,13.02999234,2762.2,459011.0,0
125,1.601466939,1.833115832,15.33367163,2648.8,442119.0,1
126,1.362114457,4.032111034,15.4671241,5479.1,1049341.0,1
127,1.06668,1.630575176,16.08283208,2565.49,538127.0,0
128,1.436496392,1.489958932,12.61727196,4499.55,481023.0,1
129,1.230501551,1.50490551,15.68000092,5337.92,1114648.0,1
130,1.223254535,2.109361581,14.27955895,7534.85,752526.0,1
131,1.125384867,3.310067957,15.92910505,2870.63,551525.0,0
132,1.255760393,2.200353041,12.30002467,5210.75,1046509.0,1
133,2.084825954,2.600107969,15.57505985,2546.03,1035751.0,1
134,2.23247866,3.007812645,15.57700476,5981.3,1059094.0,2
135,1.207897828,2.62103763,15.56261199,2280.31,446788.0,1
136,1.290446956,3.125113028,13.64116694,2900.97,478683.0,1
137,1.96154788,2.70920907,15.35539665,2500.09,515175.0,2
138,1.996574133,2.458274167,12.02131868,8332.99,1041297.0,1
139,1.486875461,3.257603328,16.38190256,4581.38,560804.0,1
140,1.214880223,1.512098613,13.53732246,5359.57,766630.0,1
141,1.077167226,2.751480904,16.25224934,5405.31,1062519.0,0
142,1.368010271,1.461739088,15.63488442,3770.32,521548.0,1
143,2.744185204,3.713169928,15.78516225,5543.93,499117.0,2
144,1.187552825,3.061594618,15.78364975,9162.81,1079974.0,1
145,1.375824123,2.268619479,15.3602999,4243.62,752502.0,1
146,1.623933409,2.807490118,13.69983388,3096.8,445537.0,2
147,1.552297897,3.46691959,16.13382556,2681.66,451917.0,1
148,2.011905837,2.454102909,12.44557673,9232.46,1515469.0,2
149,1.570679136,1.269000587,15.68856711,4861.71,755180.0,1
150,0.993158806,0.678272595,12.79883584,4135.53,744699.0,0
151,1.287800417,3.519211398,16.42595551,2246.47,395356.0,1
152,1.297225873,1.210478919,13.97706539,2426.0,466537.0,1
153,1.19133155,2.89033645,16.16744158,1942.04,494764.0,0
154,1.337335998,0.249995175,13.33885692,4983.85,769854.0,0
155,1.137690419,3.540243988,15.06617866,2942.32,495569.0,0
156,1.425546365,3.852734822,16.61442165,5625.69,1104277.0,1
157,1.761947685,2.203554386,12.21847549,10620.77,1071929.0,2
158,1.41539904,2.439978103,16.25412077,2756.3,436628.0,1
