,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,0.902361221,1.613879864,16.2825736,1942.04,575564.0,0
1,2.285564215,1.365623202,15.69495256,3222.24,680160.0,0
2,1.302759662,1.484280051,15.34932722,2096.07,391732.0,2
3,0.913068112,1.277920075,16.85328339,9122.57,696854.0,1
4,2.532475345,4.032111034,15.00869326,3678.44,729340.0,1
5,0.436666667,4.032111034,11.65794382,4907.24,994204.0,0
6,1.598235697,3.31084284,15.36367188,1942.04,1457971.0,2
7,1.608165958,1.312988753,15.28959089,2943.73,527356.0,1
8,1.272149136,2.588501,14.59605058,7986.08,391732.0,1
9,1.578757651,1.763477208,15.39595667,2059.16,987269.0,1
10,2.032905732,0.275198523,15.38018815,2427.65,666607.0,1
11,2.056420801,1.677161198,16.04470573,3488.24,1214568.0,0
12,2.018914036,3.848281388,15.35464729,2875.53,1126806.0,1
13,1.207911035,0.515737827,12.28842397,2072.89,1515469.0,2
14,0.798283421,3.533994226,14.78650894,2946.47,666428.0,2
15,1.297359921,3.17073729,15.08758153,1942.04,1468526.0,2
16,1.534642031,4.032111034,11.85537395,9018.71,652419.0,1
17,1.004010478,1.169038007,15.45002534,4968.57,801740.0,0
18,2.114728669,2.934683651,12.24734356,2919.36,687337.0,2
19,1.862053161,4.032111034,15.13263567,5063.47,1386848.0,1
20,2.842841069,1.648738239,15.95081435,3148.4,698782.0,2
21,2.640549802,3.039973197,16.040434,6654.85,932683.0,0
22,1.678223704,3.076528319,15.56991256,3295.75,705793.0,1
23,2.930157486,1.944597149,15.72978494,1942.04,391732.0,2
24,2.098360558,1.144732781,12.03290137,3886.84,1008396.0,1
25,1.897852602,4.032111034,11.99982338,6331.37,995844.0,2
26,1.562413938,1.053829843,13.58468858,3399.82,806930.0,1
27,1.535476989,1.510965639,14.88264421,1942.04,402187.0,1
28,2.235102986,2.953634296,14.77793218,4372.25,670936.0,1
29,1.693700079,3.045048112,14.85279671,4002.17,713810.0,1
30,1.29512288,3.180571691,16.28270526,9011.08,708686.0,2
31,3.163333333,1.181418943,14.8587474,7902.87,527664.0,1
32,1.655664721,1.225820778,15.04301726,8863.29,1515469.0,2
33,1.741066771,3.387792183,15.43008607,3379.06,1051293.0,1
34,2.08887202,2.997488819,13.11022918,9751.48,1447652.0,0
35,2.345189971,2.994295969,15.24071704,4382.83,700646.0,2
36,1.694114545,3.319259356,14.98462574,7145.11,982969.0,1
37,2.575008811,3.462447197,15.05380037,3192.4,1228569.0,1
38,1.53739758,1.522118108,15.10432606,5261.08,449625.0,1
39,1.839265069,1.730741502,15.42738168,4058.43,1001750.0,2
40,2.507031085,2.960820698,15.05458885,1942.04,965946.0,1
41,2.271237466,3.149132769,14.47202614,2543.79,780738.0,0
42,1.841344854,1.677757649,15.21478453,1942.04,1366235.0,1
43,1.067132907,3.423697627,14.65200551,8354.55,774378.0,0
44,1.617825188,3.394802952,15.03472386,3320.89,1349739.0,1
45,2.32286889,3.497085465,15.02379128,3169.11,942311.0,1
46,2.045231717,1.842616293,15.90313427,1964.16,637599.0,1
47,1.068264687,1.452671132,16.4769977,1942.04,718779.0,1
48,1.613302725,2.840057774,15.54405511,1942.04,1421230.0,2
49,1.377886411,1.21846084,15.76081744,3574.39,391732.0,1
50,2.878823465,3.314215491,15.37179697,3174.3,1024514.0,1
51,1.103943253,1.456796598,12.29976272,3460.97,1083326.0,2
52,1.776635508,3.440469337,12.89620067,7678.64,690197.0,0
53,1.405478044,1.456712782,15.51494326,2508.58,777381.0,0
54,1.110141309,1.651497805,11.65794382,3193.33,698638.0,0
55,1.42520756,1.407244125,15.61296385,7857.45,470036.0,0
56,1.110595315,2.210675463,15.69448162,3394.06,1359987.0,2
57,2.543807902,2.66921991,15.89825289,1942.04,673634.0,0
58,1.798977857,1.700907896,15.63649629,2271.37,723498.0,1
59,1.836868708,1.171988544,14.88636425,3010.06,676832.0,1
60,1.577886093,1.909273502,15.3359015,4206.55,1425114.0,2
61,2.352838269,2.007468729,15.50775532,8936.75,730046.0,1
62,1.534825567,4.032111034,15.94174272,1942.04,392949.0,1
63,1.743686062,2.805916654,15.90129481,3558.78,988363.0,2
64,0.852013973,1.844130129,15.6830289,3972.37,634362.0,0
65,2.918147559,1.427486928,15.40372978,3337.82,986675.0,1
66,1.683543748,4.032111034,14.53008841,8967.12,391732.0,2
67,1.477979785,0.42462313,15.58018122,2281.57,644380.0,1
68,1.097654045,2.472306476,15.65288688,3570.89,630245.0,1
69,1.161509488,1.927586507,16.40599184,1942.04,458698.0,2
70,0.436666667,1.435426595,14.44505415,7026.77,949856.0,1
71,1.252278746,2.024703805,15.07902199,8880.73,682345.0,1
72,0.820307283,1.020801861,15.10894451,2304.58,1501133.0,2
73,2.428110776,3.637592017,15.99997188,2609.03,391732.0,2
74,1.779154765,2.737129939,16.33180659,6076.89,969104.0,1
75,3.163333333,1.953456039,14.99271275,3776.0,960308.0,1
76,2.412176536,1.449636993,14.92237126,2486.4,1120368.0,2
77,1.934772407,3.730894586,16.55627626,5601.37,996330.0,2
78,1.655118689,3.957941296,15.29642826,10963.03,1203568.0,1
79,1.15236949,0.249995175,15.39618671,1942.04,678823.0,1
80,2.384204113,3.545905398,15.51093906,1969.38,391732.0,1
81,1.076881872,3.734354517,16.09049665,4285.07,943055.0,0
82,1.114422596,3.623904835,15.23412656,3313.41,1307048.0,2
83,1.157335438,1.656913029,15.01809042,6515.31,942498.0,1
84,1.297209013,3.062686074,15.16049476,2086.54,391732.0,1
85,1.113040891,4.032111034,15.42016931,3571.65,797324.0,2
86,2.676961134,2.532356899,15.37474044,1942.04,835736.0,2
87,2.010202736,1.933226586,14.10691745,7589.3,672194.0,1
88,2.788678337,1.891607569,14.89353602,3711.02,740836.0,1
89,1.777727015,4.032111034,15.40561,2960.63,1010043.0,0
90,1.279137863,4.032111034,15.52291614,2024.9,1513079.0,0
91,1.792732945,1.643738857,14.7487157,3970.24,815400.0,0
92,1.907707484,1.130497225,13.28208168,2207.57,778621.0,2
93,1.397947209,3.928043931,15.95518473,2045.98,929048.0,1
94,2.676048906,3.654061007,15.39088601,2404.39,463158.0,1
95,1.135234595,1.579248371,14.77297509,4874.89,742309.0,2
96,1.482950763,1.862011272,16.11725281,3938.01,711247.0,2
97,1.202401759,2.865119486,13.53308288,4735.33,391732.0,1
98,1.222091438,0.249995175,15.457949,5826.07,391732.0,1
99,1.338894943,1.410478324,15.23126125,2012.87,470536.0,2
100,2.556989373,1.421981695,16.20909315,3471.63,682757.0,0
101,1.84483867,1.659325978,13.44972374,1942.04,1003184.0,1
102,1.523720225,1.738880883,11.77120984,3924.9,391732.0,1
103,2.407030554,2.451373322,15.41807252,5118.39,1364606.0,1
104,2.770869012,2.795388694,16.21505577,4319.53,670906.0,2
105,1.711148895,3.617490853,16.85328339,4309.53,916575.0,2
106,2.772142295,3.805084999,15.44762031,1942.04,930615.0,2
107,1.884840572,1.554408536,15.12286114,11113.79,772213.0,2
108,1.758535976,1.316077889,14.60626354,5254.38,1024314.0,0
109,1.336753591,1.876687302,16.53342476,1942.04,660319.0,2
110,2.279513455,4.032111034,12.5652698,4633.74,922287.0,1
111,1.274844646,1.743311311,12.60821296,3508.34,391732.0,0
112,1.273424747,3.034633177,14.71029793,3892.38,693342.0,1
113,1.450952257,1.542914733,15.71431105,5652.86,1035636.0,1
114,1.720775501,2.621009711,14.87901619,4331.44,391732.0,1
115,2.813684246,4.032111034,13.12642498,9124.23,1352343.0,1
116,1.955998845,2.417865546,16.46801275,1942.04,391732.0,1
117,2.853703123,1.153808411,15.16205618,5916.74,391732.0,0
118,1.480846033,1.3610919,15.44284736,3422.39,1089574.0,2
119,1.459406402,1.565402007,15.27424723,5652.71,725814.0,2
120,2.678016557,1.698991159,14.7654799,8728.18,725601.0,1
121,2.083596027,1.34348024,12.15519852,3650.9,720237.0,1
122,1.823704157,3.900669291,15.63405685,1942.04,784509.0,0
