,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
0,1.76365825,2.817480541,14.4734986,9593.14,397582.0,1,1.452725263,0.429985311,-0.463611059
1,1.112571134,1.28120591,16.05799785,4266.3,1019013.0,1,1.452725263,0.429985311,-1.509845421
2,2.175710606,0.815769346,15.13142819,6462.87,1044881.0,1,1.452725263,0.429985311,-1.126331651
3,2.531610394,2.283019729,12.68095917,6083.17,999300.0,1,1.452725263,0.429985311,-0.496448855
4,2.074497977,3.159338151,16.33125197,3999.24,983181.0,1,1.452725263,0.429985311,1.259396711
5,1.536826334,2.538321476,16.79571458,5338.51,772367.0,1,1.452725263,0.429985311,-0.777594904
6,2.001959513,3.529443341,13.11312966,2064.15,1182392.0,1,1.452725263,0.429985311,-1.390485133
7,1.065576562,3.15580285,13.27372234,4838.21,1140588.0,1,1.452725263,0.429985311,-0.798212604
8,1.355116278,2.457870214,14.68160771,3675.7,511202.0,1,1.452725263,0.429985311,-0.991708015
9,2.04338362,0.249995175,15.78919204,2981.74,1107370.0,0,1.452725263,0.429985311,-1.014306556
10,2.161358339,2.654415206,16.79699424,10678.77,1168883.0,1,1.452725263,0.429985311,0.102794356
11,1.877706609,3.431533307,13.31234382,5126.19,480592.0,1,1.452725263,0.429985311,0.58842957
12,1.151963643,3.513571062,14.72424393,4576.46,460050.0,0,1.452725263,0.429985311,-1.197294295
13,1.317439612,2.411091412,12.09641351,5347.83,1014690.0,1,1.452725263,0.429985311,0.627510391
14,1.786858295,2.933074005,14.56366796,3800.97,1213089.0,0,1.452725263,0.429985311,1.087057558
15,1.523272795,2.765665085,15.01097161,11113.79,1005744.0,1,1.452725263,0.429985311,-0.044799003
16,1.18724504,2.157305725,14.96675774,4214.48,1116923.0,1,1.452725263,0.429985311,-0.602418756
17,1.174783486,2.993830004,14.86962096,4101.67,563145.0,1,1.452725263,0.429985311,-1.260138282
18,0.957433461,3.717745435,16.11308109,4366.64,818849.0,2,1.452725263,0.429985311,-1.754983777
19,1.468079858,2.966424621,16.85328339,3997.56,723071.0,1,1.452725263,0.429985311,-1.353512359
20,1.48794135,0.84444591,15.17964836,2064.15,973767.0,1,1.452725263,0.429985311,-0.957928813
21,1.372568418,0.249995175,12.68686316,5154.86,757450.0,1,1.452725263,0.429985311,-0.042798351
22,1.851882876,0.249995175,12.76815641,2850.77,954588.0,1,1.452725263,0.429985311,-0.220877097
23,1.557867499,1.244525595,16.51280151,2407.36,1041310.0,1,1.452725263,0.429985311,-0.575969349
24,1.618311933,1.474338238,15.5315625,4117.11,1054683.0,1,1.452725263,0.429985311,-1.28004085
25,1.086712072,0.539761965,15.39380775,8447.03,433574.0,1,1.452725263,0.429985311,0.175287568
26,2.199536403,1.580275878,13.81148741,5253.36,1318115.0,1,1.452725263,0.429985311,-0.848504459
27,1.675527515,3.621775399,15.45866936,4421.45,530629.0,1,1.452725263,0.429985311,0.02522783
28,1.443353108,2.796657056,13.92638093,5463.53,425839.0,1,1.452725263,0.429985311,-0.342950559
29,1.086727496,2.226309747,11.65794382,5400.42,1300810.0,1,1.452725263,0.429985311,2.70151668
30,1.604045621,0.961874165,14.67303344,3453.11,942199.0,1,1.452725263,0.429985311,-1.781579385
31,0.914375189,2.669109142,15.86060716,5001.54,1466241.0,1,1.452725263,0.429985311,-1.222239882
32,1.484405301,0.249995175,15.71549456,3240.52,1497967.0,1,1.452725263,0.429985311,-1.150127784
33,1.292036464,0.746302438,12.8741817,4418.21,998751.0,1,1.452725263,0.429985311,-0.491996435
34,1.146639667,1.253793916,11.65794382,7941.69,1040554.0,1,1.452725263,0.429985311,-0.315678057
35,1.302523434,1.95698451,11.65794382,3857.1,1152361.0,1,1.452725263,0.429985311,-0.372254792
36,1.523850995,3.988514751,16.77389786,2064.15,504922.0,1,1.452725263,0.429985311,-1.478825051
37,1.501352337,1.922799274,14.02581066,4684.92,743571.0,1,1.452725263,0.429985311,-1.200258936
38,1.239501675,2.770429714,14.95899727,5029.26,1027588.0,1,1.452725263,0.429985311,-1.738758792
39,2.254566532,3.338714555,16.17851689,6082.56,631517.0,1,1.452725263,0.429985311,1.590136006
40,1.255872169,2.592659807,13.63045767,6614.92,797703.0,1,1.452725263,0.429985311,-1.00820262
41,1.71391257,3.171758043,15.6026269,3077.35,391732.0,1,1.452725263,0.429985311,-1.556557574
42,1.492834967,2.939891939,11.65794382,3213.99,728561.0,1,1.452725263,0.429985311,-0.457532194
43,1.757182237,3.41656758,16.37428612,2064.15,923890.0,0,1.452725263,0.429985311,-1.016054994
44,1.600192801,3.094302523,15.42794094,4445.31,401953.0,2,1.452725263,0.429985311,-1.014697682
45,1.537219396,2.790003165,13.08501433,4463.27,996197.0,1,1.452725263,0.429985311,-0.878970826
46,0.807594867,1.707059322,13.62340122,2064.15,729445.0,1,1.452725263,0.429985311,-1.784887501
47,1.348544773,2.992896212,15.3478178,4411.56,1019619.0,1,1.452725263,0.429985311,-0.846475287
48,1.287553065,2.167716641,14.3436525,4063.0,959196.0,2,1.452725263,0.429985311,-1.21056609
49,1.303831529,1.284129871,15.5656844,5861.54,391732.0,1,1.452725263,0.429985311,-1.7556357
50,1.85233716,2.475835451,15.17483834,2629.15,991848.0,1,1.452725263,0.429985311,-0.874252184
51,1.572109072,2.736061015,15.99631791,7279.96,929541.0,1,1.452725263,0.429985311,-0.636381018
52,0.998697366,4.032111034,14.51232697,6021.12,391732.0,1,1.452725263,0.429985311,0.226327784
