,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.275681367,1.571611092,15.847348,2513.96,552627.0,1
1,1.482158948,3.580377156,14.66388744,2223.89,440742.0,1
2,1.279781501,3.149761203,14.87785263,2690.58,431069.0,1
3,1.070057531,3.022428771,13.19613477,2338.96,450191.0,0
4,1.078401441,0.697150474,11.65794382,4544.69,742591.0,0
5,1.578670739,2.667287677,15.78376965,2342.43,460360.0,1
6,1.267459162,3.849349382,16.08253841,11113.79,1493021.0,0
7,1.358103613,1.558090419,15.83691075,5498.94,788474.0,1
8,1.339106828,3.001868542,15.72279316,2368.73,497075.0,1
9,1.450387033,1.484034845,16.11125611,4287.81,754095.0,1
10,1.262850941,3.337251238,16.19753278,4354.54,537156.0,1
11,1.192530436,1.660222264,13.0920779,5687.05,1118287.0,1
12,1.477055727,3.197286958,16.10267899,4491.09,506307.0,1
13,1.699678322,2.68541027,15.60244718,4903.3,735453.0,1
14,1.369240227,0.249995175,11.65794382,5706.72,1095184.0,0
15,1.530315178,1.215413802,16.07814275,3953.0,768198.0,1
16,1.248567199,1.606170783,12.27594345,2258.32,749564.0,1
17,1.421108044,1.299260445,12.55417312,5548.45,1070267.0,1
18,0.994842026,2.708233516,16.09014762,2874.51,549420.0,0
19,1.580150156,3.349415352,16.22032013,3517.41,750064.0,1
20,1.279579221,1.479373163,15.69155228,5623.95,1086663.0,0
21,1.376449837,1.284435442,12.98819378,5596.88,1104064.0,1
22,1.282225517,2.760508993,15.76198667,3956.95,586417.0,1
23,1.435097787,3.190196916,15.32141365,3785.31,485653.0,1
24,0.895375605,3.224076016,15.9529062,10841.5,1476785.0,0
25,1.323596829,1.32979864,15.37875328,3040.89,513464.0,1
26,1.216078511,1.444065489,13.45967668,5369.8,1087703.0,1
27,1.243599157,3.70663329,16.3009957,2618.54,500552.0,0
28,1.457120854,1.565421584,14.02718403,2519.68,525628.0,1
29,1.352394124,3.170517401,15.7467436,2904.73,538136.0,1
30,1.028058536,2.445836964,15.40151421,2326.24,441967.0,1
31,1.494143326,2.800858099,15.92803351,2602.59,457402.0,1
32,1.537609192,2.605547191,13.6684029,5894.3,1095786.0,1
33,1.446648543,1.501525405,14.94110642,3754.78,775509.0,1
34,1.423630964,1.553416269,13.30055488,4753.59,767368.0,1
35,1.32354866,3.666684768,15.98278512,7130.1,479237.0,1
36,1.496086456,2.935611098,15.65699563,9221.54,1515469.0,2
37,1.2885796,1.504548452,15.77373574,5000.25,768768.0,1
