,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,4449.03,458.091,20.19622827,13.51617255,28.17473159,0.183705035,1
1,3643.28,703.785,21.70163861,14.93368317,27.9850979,0.121990528,2
2,3400.1,1178.024,18.35404444,16.34246934,29.26207143,0.167447744,1
3,3609.26,629.252,22.29273057,15.14845247,27.21050333,0.159095627,2
4,4053.57,1003.902,22.97209541,13.46652295,28.07246264,0.191288374,1
5,3467.25,1139.265,21.42350724,14.7328196,25.96706342,0.188765605,1
6,3577.71,851.201,21.58466605,14.68241569,28.73292778,0.163996137,2
7,3400.1,454.89,23.32767857,15.12594779,28.24559716,0.150482061,2
8,3878.33,812.917,21.2136569,15.75224016,28.55592492,0.147049789,2
9,3996.33,1013.675,21.03647353,15.90632568,28.29446786,0.176625501,2
10,3679.01,771.504,21.60782159,15.12737151,27.65095374,0.157725257,1
11,3821.0,945.917,21.8831899,13.59072609,29.02848231,0.186893357,2
12,4260.48,759.883,19.89492302,14.99545719,28.72858016,0.191288374,2
13,3788.2,822.917,20.67594049,13.14400683,26.30836388,0.151140815,1
14,3721.74,540.15,22.26138832,14.63541502,28.94748862,0.173434314,1
15,3722.45,719.371,22.01591301,14.88170542,29.26207143,0.140901415,1
16,4024.14,555.202,22.40086579,14.02902675,29.26207143,0.14756833,2
17,3615.65,742.887,21.89444916,14.37140424,27.82552047,0.137796994,2
18,4243.56,774.585,23.32767857,13.75311311,29.26207143,0.158311177,2
19,3400.1,800.201,23.07636293,14.3649997,29.26207143,0.116674048,2
20,4368.41,413.282,22.51375714,13.38617492,27.18441938,0.116674048,0
21,3560.47,1076.506,21.54332787,17.08424242,29.26207143,0.128896239,1
22,3627.73,838.289,21.63919937,17.79478878,27.34371946,0.168458122,2
23,3476.02,684.765,21.35692063,15.50700148,28.5086393,0.155892634,2
24,4200.01,795.75,21.27671401,12.82340179,28.98347259,0.151736571,2
25,4349.33,925.136,21.28062275,14.49414563,28.21485557,0.189247042,2
26,4673.22,630.549,20.67652002,14.81837965,28.77002901,0.146056964,2
27,4529.35,879.073,21.11752598,15.36360024,27.63080653,0.19021802,1
28,3899.6,852.776,22.75799591,17.75601296,29.01279062,0.163511403,0
29,3664.49,954.326,20.52117341,16.07713542,29.26207143,0.116674048,2
30,4032.63,967.025,21.76573553,14.99944163,29.04348229,0.151581377,2
31,3400.1,837.877,22.37817424,16.12929502,29.1800175,0.178397291,2
32,4478.75,542.396,22.94894059,13.59784533,29.11186506,0.137967711,2
33,3826.36,646.823,21.23613752,13.73252639,27.04807132,0.163269619,2
34,3400.1,644.557,23.32767857,15.57514022,29.23949422,0.171932288,2
35,3553.04,849.166,20.69350182,13.67604317,27.8357992,0.184800409,2
36,3557.6,1010.46,21.59005992,16.72674969,27.3436742,0.142322586,1
37,3830.52,896.959,21.36954724,15.32202455,29.26207143,0.116804111,2
38,3683.43,413.282,22.83117786,13.83361227,28.8068946,0.147230578,2
39,4397.84,955.207,20.72613685,13.18950893,29.26207143,0.153990418,2
40,3801.61,743.262,21.7292413,15.61030052,27.93117674,0.178499479,1
41,3400.1,961.923,21.28242613,14.63307068,27.51850698,0.135880791,2
42,3763.94,1079.759,20.95120411,15.05561232,28.49783848,0.189438074,1
43,4244.15,866.187,22.03032183,14.36266669,27.73495639,0.130295567,2
44,3886.44,796.763,20.61932355,15.45307179,27.96723332,0.176834488,1
45,5165.6,768.324,22.63639472,12.54377222,27.74559994,0.177964436,2
46,4082.53,511.69,23.32767857,13.77700368,27.57413197,0.152588344,2
47,3723.22,1185.812,22.89411078,16.79582052,29.26207143,0.175501429,2
48,3709.69,645.125,19.98695012,12.54377222,28.22102347,0.132468114,1
49,3583.41,795.722,22.13796142,14.52980478,28.8303958,0.18067664,2
50,4199.17,827.748,20.801506,13.64615098,27.19227498,0.136924141,2
51,4238.98,983.738,23.32767857,13.78097117,29.26207143,0.154007161,2
52,3889.76,946.884,21.52175184,15.78319009,27.62923258,0.171383517,1
53,3400.1,1052.993,21.45542936,14.71006419,26.38893436,0.18354533,2
54,4261.08,836.713,23.21682863,14.56957354,28.35961514,0.181915497,1
55,3892.07,413.282,22.46734171,13.53484179,28.63341627,0.179310035,1
56,3802.03,566.535,23.32767857,14.99432232,29.26207143,0.151328466,2
57,3859.9,860.161,21.00239173,13.58099842,29.26207143,0.153692499,1
58,3400.1,665.771,21.86424074,17.08505807,27.99465092,0.160249969,2
59,3635.86,511.137,21.32108108,15.32036313,28.37649544,0.174708247,2
60,3727.25,782.265,22.37805392,15.4285495,27.34539132,0.161051922,1
61,4425.31,564.105,23.06460353,14.59934491,28.48932715,0.167888054,1
62,3400.1,838.569,22.99891702,12.54377222,26.58397651,0.140775551,2
63,3400.1,811.888,22.48754177,13.6901615,27.38616584,0.126693041,2
64,3595.54,757.401,21.88590703,14.16448616,28.16643718,0.18285299,2
65,3838.63,1047.564,20.92608677,15.35161509,27.64798027,0.157900779,2
66,3400.1,481.201,22.25886472,13.15699514,27.31008063,0.151510042,0
67,5073.6,413.282,22.59781303,15.32540353,28.72936525,0.161656162,2
68,3672.28,665.048,22.67010764,15.94694459,27.56806164,0.152443818,0
69,3575.59,590.856,23.32767857,18.19388095,29.26207143,0.175717723,2
70,3400.1,637.98,23.32767857,15.04776502,27.5726508,0.156757968,2
71,3400.1,864.234,20.92535495,16.35098391,27.77090787,0.157132185,2
72,3400.1,413.282,20.80535409,15.10670961,29.26207143,0.191288374,2
73,3971.33,751.212,21.87442446,12.54377222,26.98248828,0.167980659,2
74,3400.1,654.32,21.16618887,17.35910025,29.24100638,0.176105148,2
75,4448.45,820.896,21.56123601,14.8505097,27.58367413,0.15666231,2
76,3871.65,413.282,19.51982199,15.03460445,28.32776099,0.162200047,1
77,3400.1,671.019,22.6334135,14.67189407,26.66502804,0.18380971,1
78,3726.92,908.709,21.27377981,15.42437013,29.08003409,0.180719378,1
79,3737.03,841.982,21.1484343,12.54377222,27.06785103,0.191288374,2
80,3641.85,769.655,23.32767857,16.86745145,28.38385404,0.191288374,1
81,3400.1,572.261,19.93454945,14.02517862,28.04836674,0.149386542,2
82,3400.1,652.451,23.13554002,17.59178597,29.26207143,0.191288374,2
83,3563.85,754.919,22.30511708,12.90938502,26.46988823,0.173671872,2
84,3400.1,982.066,23.06479127,15.66063696,28.32959731,0.168712805,2
85,3400.1,723.914,22.72530297,14.51577015,28.29354103,0.155426058,2
86,3672.3,413.282,22.23065567,17.78462089,28.72193757,0.13759907,2
87,3400.1,664.767,20.51283626,16.97990491,26.71244311,0.154396179,2
88,3400.1,828.91,23.32767857,16.97566858,29.26207143,0.159092944,2
89,3400.1,797.693,22.79811941,13.34457966,28.80907755,0.128298971,1
90,3598.84,1062.541,23.32767857,15.0013655,29.26207143,0.157458993,2
91,4225.36,621.275,21.30702056,13.01423262,28.83816298,0.191288374,2
92,3600.07,690.69,23.32767857,16.83380192,29.02741636,0.191288374,2
93,5197.47,1159.21,23.28315508,15.21540151,28.23429395,0.172155224,2
94,3832.08,877.434,21.20704329,13.25396182,26.47006708,0.163391209,1
95,3400.1,1029.456,22.79097494,15.03308012,29.04005776,0.137320424,2
96,4683.14,939.604,22.08316313,14.99138294,29.26207143,0.148428588,2
97,3483.54,870.431,21.80415402,13.80227539,27.4805427,0.147729561,2
98,3400.1,1236.596,21.71816065,16.57179779,27.66043756,0.13297593,2
99,4060.71,451.972,21.98493061,14.96595021,28.14047643,0.162799377,1
100,3983.1,668.859,22.17959403,14.12664389,29.26207143,0.174050786,2
