,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,2388.36,546.3,19.47837672,16.46109709,26.13056197,0.313480989,1
1,2631.56,775.2,21.55528306,15.97819618,25.8681524,0.283530155,1
2,3510.66,554.8,23.59670837,13.89763663,22.59871398,0.28927294,1
3,3564.19,792.4,23.79017857,14.32518236,28.90139345,0.285422761,2
4,3683.19,544.8,23.79017857,14.15523685,26.13099939,0.275465562,0
5,3570.63,847.5,23.79017857,15.86869611,22.88670895,0.294193938,1
6,2369.11,515.0,20.23719695,16.17199994,26.60606349,0.281095275,0
7,3266.27,404.0,20.25437686,16.00392266,26.37894319,0.278817214,2
8,3688.65,677.2,21.95944784,16.33467545,26.22502626,0.289145833,1
9,3795.42,955.9,23.15328946,12.61707097,24.27262661,0.302823486,0
10,3424.93,763.4,20.52854295,16.12760219,28.91534886,0.292980933,1
11,3241.2,644.8,20.43694025,14.33642281,22.60827841,0.28554276,2
12,2367.95,404.0,21.74476183,15.43179096,27.49452983,0.275796807,0
13,3647.21,465.0,23.79017857,15.40813505,28.81024049,0.293997862,0
14,2736.67,791.8,23.79017857,15.92526031,29.25310714,0.298373559,1
15,3727.62,796.6,20.6527107,13.26477352,29.25310714,0.295718466,2
16,3524.84,681.4,20.66770826,12.61707097,25.89518854,0.305233397,1
17,3469.27,791.3,23.79017857,16.6585115,28.43717941,0.292898819,1
18,4543.56,713.9,20.70397211,14.41822123,24.183592,0.284912639,2
19,4823.96,462.3,21.1052129,13.94372773,25.55458665,0.305145467,2
20,3104.9,806.0,23.55307498,16.00985112,22.59871398,0.295117054,1
21,3997.91,787.1,20.48287957,15.534236,25.78469638,0.283378565,1
22,3487.69,758.4,20.39800885,15.40497627,25.30323611,0.292129566,1
23,4823.96,900.3,23.79017857,16.2405524,25.72885709,0.292225203,1
24,3568.43,789.1,21.04589243,15.10990763,22.59871398,0.299934183,0
25,3674.95,648.5,19.77038222,12.61707097,25.13802475,0.292002271,1
26,3665.71,790.3,18.3849967,15.60604542,25.78715483,0.278784805,1
27,3733.16,417.7,21.24192143,15.59020112,24.81459411,0.294210482,2
28,3265.04,772.3,23.79017857,14.89540292,24.60580364,0.277831557,2
29,2903.31,821.0,17.84435177,15.87988874,29.25310714,0.294947916,1
30,3687.32,470.6,23.79017857,16.27063664,24.5460177,0.282712464,0
31,3306.87,824.0,19.32669244,14.89345692,24.34673392,0.292899617,1
32,3083.21,430.3,21.12710695,14.04173958,24.73873205,0.286009854,1
33,4687.5,765.4,20.90716485,14.99903637,26.44498125,0.29771052,2
34,3534.33,592.4,20.59460412,15.32761023,25.71932148,0.293200479,0
35,3505.95,458.4,23.79017857,15.59117996,23.90512656,0.2939078,1
36,3751.39,404.0,20.51783579,12.61707097,27.75363385,0.295197488,1
37,2599.05,883.7,20.86569755,16.72975612,29.25310714,0.313480989,2
38,3557.99,723.9,20.70781788,15.48127157,25.47098017,0.284678334,1
39,1865.05,812.7,18.93870133,16.02038615,25.13286249,0.285325941,1
40,4437.05,840.9,21.41449554,14.59283123,24.44904757,0.277044848,0
41,2528.97,404.0,23.79017857,13.27244393,29.25310714,0.292991308,1
42,2533.55,497.8,21.06250014,15.74030235,26.79426228,0.287162332,1
43,3202.53,778.4,23.79017857,18.23052202,25.38164226,0.282934264,0
44,3789.78,748.5,21.39892307,15.90740158,25.22247456,0.27581667,0
45,3623.42,404.0,19.95630272,16.3497974,23.35769302,0.302480762,2
46,2864.02,407.7,23.79017857,13.39465982,25.23274956,0.278053807,2
47,3590.61,635.7,23.28827279,15.42339748,22.59871398,0.281285916,2
48,3533.19,829.0,21.02936116,13.77693759,23.41011041,0.28207839,0
49,3724.78,639.6,20.90103578,15.50294102,26.1616267,0.278820527,2
50,4823.96,803.9,23.79017857,15.09420948,26.5782748,0.285090078,1
51,2963.19,849.0,20.59085596,15.85521746,26.55828702,0.28039503,2
52,3555.6,704.8,22.80929463,15.69988598,26.11579826,0.290475551,1
53,3684.77,771.8,20.79750364,14.81547946,24.86048126,0.297797631,1
54,2732.48,1043.2,20.43897086,18.34088279,25.26605415,0.309409114,2
