,Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,143843.0,1096.74,1.862619338,16.32533368,1
1,147055.0,2140.7,4.889927649,12.9303001,1
2,229678.0,948.71,1.815995854,14.61833376,1
3,354773.0,2373.48,2.276718487,14.93681572,1
4,149971.0,1984.9,2.293346743,16.3845424,0
5,154045.0,848.36,3.844505334,16.9787994,1
6,260827.0,955.2,1.515218465,15.82068038,1
7,371638.0,1345.55,1.914706508,15.38252863,1
8,138312.0,743.61,2.985735007,13.38936791,1
9,155165.0,1243.93,1.798063266,14.36240977,1
10,269263.0,708.9,3.155004943,16.0365089,1
11,245353.0,719.53,4.207495544,16.06525383,1
12,127829.0,1153.88,2.975920302,15.77349839,1
13,253053.0,2242.84,3.074176158,17.24239851,1
14,254851.0,2133.28,2.305436777,15.76960583,1
15,373405.0,1832.4,2.929138853,15.41662504,2
16,150867.0,1440.88,3.885551671,17.0214498,0
17,140808.0,1787.42,2.378592639,12.7030399,1
18,155773.0,1581.34,0.980186875,17.51826318,0
19,248940.0,1245.99,2.46427088,15.53594291,2
20,261976.0,2190.5,2.123571594,11.91267309,1
21,140714.0,2077.61,0.719218553,16.51931098,1
22,150493.0,866.62,3.764928376,15.7047952,1
23,143777.0,643.57,3.109186226,15.48930585,2
24,146457.0,1790.41,3.914947231,15.9516503,1
25,249403.0,871.17,1.460915016,16.23653542,1
26,134331.0,1363.41,1.988086523,15.98138292,0
27,154135.0,1316.13,4.85554281,13.93257419,1
28,253526.0,1819.61,4.133951448,15.6660434,1
29,160478.0,1024.32,4.729970676,17.65314165,1
30,263624.0,831.8,0.956787135,15.52625868,1
31,231470.0,996.24,1.656134129,16.75484173,0
32,157705.0,1341.68,3.119274563,16.07101542,1
33,146812.0,1174.94,2.146425955,14.88071772,1
34,273215.0,1436.97,1.63606945,13.06767024,1
35,339810.0,1347.4,4.45651986,16.56737637,1
36,381756.0,1880.91,2.18911167,15.96787675,1
37,259574.0,2143.91,1.785307681,13.43259496,2
38,132952.0,1845.86,3.247703476,16.7417655,1
39,368234.0,1905.98,2.224279194,14.10769191,0
40,377781.0,934.49,4.433758637,14.79360735,1
41,150176.0,960.3,3.153444812,15.66969826,1
42,382090.0,1910.67,3.141140174,14.09761055,1
43,145351.0,1848.25,2.948906203,16.43848438,1
44,253742.0,1887.58,2.289656667,14.52824199,1
45,132218.0,947.86,0.704044849,16.0961474,1
46,384075.0,1892.38,2.268640868,16.44235972,1
47,371101.0,998.28,3.065244271,15.76967257,1
48,146296.0,1334.95,3.068692469,16.65298656,1
49,137380.0,1399.67,3.732638768,12.97744457,2
50,351516.0,999.46,2.426155684,15.78616566,0
51,142212.0,1788.26,2.987944901,13.56064221,1
52,347626.0,868.94,0.948634056,14.33932799,1
53,232897.0,2539.63,2.022847926,14.42998902,1
54,160150.0,1528.06,4.617184818,15.694993,0
55,261601.0,1779.41,2.550522338,16.32841629,1
56,255033.0,1849.71,1.97586726,16.05489051,1
57,148232.0,1751.55,2.036222446,14.75709723,1
58,136704.0,1085.17,1.194488491,15.31967345,2
59,134751.0,696.96,3.574759626,16.52280104,1
60,253719.0,1500.9,0.754886017,15.71939305,1
61,150305.0,860.01,2.00804827,15.37859728,1
62,149019.0,1389.8,0.996234263,16.40193078,1
63,142749.0,1890.53,3.538067376,13.23305552,1
64,258815.0,2769.04,2.449567128,15.08504808,1
65,259525.0,979.23,2.34060326,15.98932544,1
66,363193.0,1955.13,1.775902939,15.82515752,1
67,138557.0,779.75,2.360388257,16.64362602,1
68,164752.0,2374.35,4.423892504,11.2583727,1
69,152549.0,1414.74,2.829474819,17.5681747,1
70,373788.0,1922.03,3.173315435,15.5691767,2
71,362936.0,2129.67,4.649428457,16.63996639,1
