,Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,353638.0,1421.45,0.881689273,14.58811229,1
1,131963.0,1642.69,2.760016411,13.08860697,1
2,380948.0,662.61,2.15226698,17.67180805,0
3,148130.0,853.16,3.730548927,16.11756435,1
4,350675.0,1432.14,2.640448392,14.96859358,0
5,140879.0,917.04,4.62535686,15.20624154,1
6,128896.0,1914.06,3.904691715,12.98264733,1
7,351709.0,1499.45,1.497914366,15.84517138,1
8,165666.0,799.7,4.286083597,15.32569031,1
9,157654.0,1560.3,4.315883235,15.7451566,1
10,151074.0,2350.87,2.299314412,17.09196124,2
11,261503.0,833.2,3.331228684,15.34283558,2
12,249837.0,2158.62,3.206982311,15.50202292,1
13,128711.0,1806.26,2.424911417,16.57081258,1
14,130071.0,1240.81,2.904462982,16.08429031,1
15,150392.0,1005.66,2.652148595,13.33569819,1
16,139905.0,1702.63,3.930890277,16.45822286,1
17,373662.0,1420.18,1.976578731,15.53315448,1
18,129308.0,910.97,3.135574901,16.66101276,0
19,255815.0,1523.7,4.683349611,15.39024578,1
20,231625.0,2193.11,2.480601916,13.94916476,1
21,363222.0,586.86,1.751171747,14.41306719,1
22,374986.0,809.46,4.65515622,14.90328262,0
23,254743.0,2176.56,3.217155442,15.52584213,1
24,377935.0,1803.64,2.375406628,12.9034782,1
25,155364.0,907.63,2.447564236,17.15797686,1
26,169847.0,2324.26,3.644114819,15.04915876,1
27,365279.0,1248.89,2.742559323,15.61308811,2
28,120045.0,1761.44,1.40976669,14.90279073,1
29,142829.0,1893.47,3.604291969,16.63171822,1
30,140943.0,2498.67,3.324464927,14.66276541,1
31,241865.0,2962.61,0.725150483,15.64460768,1
32,375061.0,1976.12,3.019476595,17.08692457,0
33,350724.0,1697.58,2.239130781,14.71433523,1
34,129553.0,908.29,3.04243061,16.62327695,1
35,368697.0,814.96,2.876451102,15.46928679,1
36,245069.0,1566.12,4.629719734,11.99815971,0
37,268711.0,1476.33,3.424873197,15.08648575,1
38,265072.0,1903.94,3.228356949,15.01068846,1
39,143742.0,1170.94,2.008072789,15.44996688,1
40,253720.0,799.76,4.031682449,15.36317425,1
41,174425.0,1411.89,4.93924406,14.62723985,1
42,353243.0,1567.77,1.781335359,15.49285054,1
43,379265.0,1577.88,1.441944322,13.09433113,1
44,359910.0,806.59,1.787597334,16.5057569,1
45,353774.0,850.7,3.062679319,15.06489428,0
46,161322.0,1943.68,3.073282723,16.10422034,0
