,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.005021192,1.579517502,15.5612898,3261.43,542976.0,0
1,1.219132644,3.566994087,15.99831724,4177.28,577418.0,1
2,1.84183607,1.777551842,15.70232087,5016.18,743831.0,1
3,1.185447158,1.877151126,15.54616825,6987.91,1050424.0,1
4,1.817087438,3.083621223,15.78382353,2331.38,501423.0,1
5,1.271302433,4.022767065,16.13507341,2699.07,1059105.0,1
6,2.035403569,2.469977289,13.52559381,3040.38,456983.0,2
7,1.311405881,2.839978595,16.36481589,4286.86,781215.0,0
8,1.623569793,2.576352508,14.65336476,4236.3,497345.0,2
9,1.400528382,2.826203233,14.61723543,2237.52,406856.0,1
10,2.363838701,2.435133097,15.64165726,11113.79,1021501.0,2
11,1.07071384,3.625672077,15.8750921,2771.79,533878.0,1
12,1.233608281,1.460579918,15.57177051,2978.31,531636.0,0
13,1.423762508,3.526433758,16.85328339,2317.48,536342.0,1
14,1.398603668,1.285174278,12.03242801,6315.33,1014904.0,2
15,1.708885928,2.723534841,16.41189755,2586.83,456810.0,0
16,1.395549861,2.440440773,15.66216995,4068.0,780881.0,1
17,1.377311053,3.559705221,16.15219128,2205.06,570060.0,1
18,1.51558195,2.493138365,15.54749163,2193.33,720642.0,1
19,1.273142042,1.471112017,13.59450444,4171.72,1054784.0,1
20,1.57901507,3.073650094,16.22994261,2939.43,482991.0,1
21,1.127255493,1.452625056,16.186645,4454.48,776914.0,1
22,1.212190094,3.258529699,16.3864117,5471.56,1081504.0,0
23,2.099519826,3.314906793,16.04678511,10142.78,469807.0,2
24,1.034893289,1.429679136,13.50682329,2229.85,444820.0,0
25,1.419397906,3.913947555,16.48854952,5445.62,490751.0,2
26,1.352684052,1.392380577,15.87581078,4120.93,766640.0,1
27,1.36098663,3.009573391,15.98156623,2625.06,429111.0,1
28,2.402974532,2.633155052,15.51612391,5200.1,746849.0,2
29,1.136789261,3.1076638,15.50348249,9943.45,455603.0,2
