,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,3562.86,804.9,17.60733333,16.14303666,27.35411448,0.296070785,1
1,3709.89,623.9,23.27524802,16.60091599,24.76671275,0.300456301,2
2,2938.67,779.1,22.23781243,15.62783206,25.2351666,0.274940645,1
3,2334.3,569.3,19.23548816,16.29292561,26.39684921,0.273257094,1
4,3436.75,1003.0,21.56204001,15.65285378,25.35963904,0.289674105,1
5,3444.03,781.4,23.09572683,14.39412007,24.30779806,0.2729625,1
6,3649.84,576.3,19.88134949,18.4988437,22.59871398,0.290547424,0
7,3121.87,680.8,21.57460391,16.69515624,25.53260246,0.300350591,1
8,3730.32,825.2,23.66402052,15.40838017,25.47268617,0.303174443,1
9,3543.28,404.0,17.60733333,16.00458674,25.60508392,0.28791952,1
10,3729.7,794.7,20.09355327,14.39022781,24.97842288,0.2729625,1
11,3675.69,633.9,20.54404996,15.15516875,25.28543716,0.29001113,1
12,3533.55,755.3,21.34946839,15.7885392,25.19623129,0.281153954,2
13,3342.64,830.8,21.27352543,15.55462662,22.59871398,0.297655393,1
14,3368.87,404.0,20.00922232,16.1922148,26.73005352,0.28762684,1
15,3640.46,786.1,22.29170264,15.80840004,25.35642965,0.298390645,0
16,4512.15,764.6,20.29366107,16.2492408,23.60669427,0.276023942,1
17,3583.39,821.1,20.06770734,14.92208435,25.53120625,0.273650536,1
18,4823.96,770.3,18.91258561,15.67919041,28.23983304,0.29341923,2
19,3528.31,624.8,21.41619292,18.56415394,25.59575534,0.297287144,1
20,3587.04,779.0,19.00428302,16.08256291,25.48341334,0.29318902,0
21,3643.14,702.8,20.91776227,14.9134252,25.20354131,0.293204401,0
22,3553.57,808.8,19.23359169,16.49858047,25.25286155,0.309907785,2
23,3503.7,531.4,21.73613537,14.67827289,25.52718038,0.292727543,1
24,3581.44,759.7,21.70457861,15.98511188,25.15343434,0.303109049,2
25,3497.85,730.1,20.24964938,14.70795559,28.7282489,0.292509596,2
26,3645.78,528.5,20.74022933,15.53966977,22.59871398,0.297902353,1
27,3454.37,643.2,23.08874781,13.82036345,28.97173117,0.284991143,1
28,2975.12,833.0,21.77677144,18.33683526,25.21411195,0.275914215,2
29,3685.53,802.7,20.76620919,16.50634375,24.85509315,0.273706553,2
30,3512.29,404.0,23.79017857,16.42127527,25.0567774,0.275189402,1
31,3498.31,596.3,20.73341541,16.01975429,24.76123552,0.2729625,1
32,3284.46,789.1,21.23624875,16.18816585,24.86319088,0.295595932,2
33,3778.23,783.8,20.5519119,15.90682101,23.9982486,0.2729625,2
34,3582.25,779.3,21.14160928,16.68685677,25.23481674,0.277566227,2
35,3623.55,688.8,23.35018791,14.62988695,24.97982951,0.296132408,1
36,3545.36,690.7,21.20376191,16.69242061,25.35156672,0.278792122,1
37,3416.7,870.1,21.08733875,16.17997054,25.52973574,0.293765435,1
38,3625.16,834.8,21.32723715,14.57108511,29.16830702,0.293538208,1
39,3584.29,776.2,20.84785997,14.53366096,22.59871398,0.286440018,0
