,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
0,1.819705029,0.914715549,16.38840818,6421.82,1177567.0,1,1.452725263,0.429985311,-0.056209122
1,1.758737985,2.10143941,16.85328339,4763.61,1135011.0,2,1.452725263,0.429985311,0.799234708
2,1.79095951,0.249995175,16.59628148,11113.79,889184.0,1,1.452725263,0.429985311,-0.292942825
3,1.427008758,3.366447932,15.9557778,6303.22,497591.0,2,1.452725263,0.429985311,-0.461009203
4,0.689185912,2.270898791,15.12776381,5584.31,626208.0,2,1.452725263,0.429985311,0.979194935
5,1.355976136,1.875091921,16.59567778,6445.36,555561.0,1,1.452725263,0.429985311,1.29157155
6,1.164394271,2.832215838,16.85328339,3589.51,568136.0,0,1.452725263,0.429985311,0.739792656
7,2.655656701,1.350443468,13.54679814,3230.17,796743.0,2,1.452725263,0.429985311,-0.527782539
8,1.178437043,0.249995175,13.86233401,2311.34,1135242.0,0,1.452725263,0.429985311,3.556599981
9,1.390104072,1.53979157,15.9824276,9474.84,1127720.0,0,1.452725263,0.429985311,-0.730325322
10,1.296328983,1.942594313,15.90218246,9525.84,900876.0,1,1.452725263,0.429985311,-0.07304473
11,1.424831713,2.758616814,14.76366033,3623.64,676369.0,1,1.452725263,0.429985311,1.176597231
12,1.093511751,1.669921618,16.68692661,3508.94,1142001.0,1,1.452725263,0.429985311,-1.782620057
13,1.401206843,2.917396293,13.7964924,11113.79,823438.0,1,1.452725263,0.429985311,0.308856528
14,1.31145773,1.200720939,15.93065328,2827.67,654554.0,1,1.452725263,0.429985311,0.1612679
15,1.357377945,2.593403001,16.85328339,2737.17,1037481.0,2,1.452725263,0.429985311,-0.442636836
16,1.412230273,1.261302892,15.66512195,6221.38,840432.0,1,1.452725263,0.429985311,-0.070210494
17,1.470685049,3.47202099,15.63566873,2440.44,592771.0,1,1.452725263,0.429985311,-1.152372637
18,2.236398156,0.249995175,15.48470309,5921.19,800359.0,0,1.452725263,0.429985311,-0.033399215
19,1.449677561,2.531152887,16.21629337,4870.64,1033021.0,1,1.452725263,0.429985311,0.075890958
20,1.596813753,3.149932128,11.6589958,6703.17,684302.0,1,1.452725263,0.429985311,-0.336592891
21,1.423307025,3.123699308,15.75494683,6284.95,707666.0,1,1.452725263,0.429985311,1.167399236
22,2.153172583,1.871940946,16.35039442,3467.51,727243.0,1,1.452725263,0.429985311,-0.541917426
23,1.532615061,2.302103976,13.30152725,5033.09,525505.0,1,1.452725263,0.429985311,-1.377809775
24,1.855735438,2.353336605,13.23778422,8351.07,808229.0,0,1.452725263,0.429985311,-0.493388704
25,1.544869176,1.342862964,15.32390596,9893.03,698758.0,1,1.452725263,0.429985311,0.386005525
26,1.320076205,2.574528923,14.85342867,8473.87,561946.0,1,1.452725263,0.429985311,0.735232949
27,1.077196643,1.498020563,16.48443124,6023.15,721816.0,1,1.452725263,0.429985311,0.008354708
28,1.521107408,1.428067857,16.81351415,2141.2,602019.0,2,1.452725263,0.429985311,-0.355645263
29,1.571946753,2.349848881,13.67089203,5313.97,391732.0,1,1.452725263,0.429985311,0.935258344
30,3.163333333,2.775816231,15.84990084,10760.87,1214338.0,0,1.452725263,0.429985311,-0.585227902
31,1.655608372,1.918142657,15.63268523,4382.67,700154.0,1,1.452725263,0.429985311,1.210507861
32,1.685619685,0.367405395,15.76317801,2491.51,702130.0,1,1.452725263,0.429985311,0.85096665
33,1.145704536,1.969855541,13.50975777,6875.44,631836.0,1,1.452725263,0.429985311,-0.875603397
34,1.323378087,1.338931902,16.20390036,4538.04,739452.0,0,1.452725263,0.429985311,0.314700063
35,1.979731216,2.400329714,15.84386739,2064.15,529364.0,1,1.452725263,0.429985311,-0.344664488
36,1.149557048,3.158065121,16.29842358,2937.16,825490.0,1,1.452725263,0.429985311,-0.457947859
37,1.127942426,3.457672344,16.47402354,2775.98,673608.0,2,1.452725263,0.429985311,-0.03298496
38,1.791577364,2.446892841,16.34921367,2064.15,577524.0,1,1.452725263,0.429985311,0.452072901
39,2.223898558,2.548562861,13.8192608,2064.15,715122.0,1,1.452725263,0.429985311,0.553642408
40,1.231508459,3.012743177,16.85328339,2146.27,889814.0,1,1.452725263,0.429985311,0.113649741
41,1.307014397,3.231068234,14.35529185,10607.34,889249.0,1,1.452725263,0.429985311,-0.895182027
42,2.387879724,3.508198995,15.72792391,2064.15,835284.0,1,1.452725263,0.429985311,0.481868597
43,1.126782564,0.914001509,16.05954631,5807.95,438565.0,2,1.452725263,0.429985311,-0.689715461
44,1.989984711,2.260401146,13.22149806,6802.93,717005.0,1,1.452725263,0.429985311,1.030477993
45,1.623337728,2.031021227,12.49049022,5788.39,626373.0,2,1.452725263,0.429985311,1.229426479
46,3.163333333,2.438144731,15.84712915,3278.06,781300.0,2,1.452725263,0.429985311,0.769803702
47,1.568059683,2.945061273,16.05588124,10377.24,813790.0,2,1.452725263,0.429985311,3.978294206
48,1.608947836,3.404368471,13.70897699,2064.15,833702.0,1,1.452725263,0.429985311,3.264520375
49,2.530504369,2.094833162,12.45944835,8786.21,652659.0,0,1.452725263,0.429985311,0.02691971
50,1.60615707,1.555142857,15.35551225,5777.74,767703.0,1,1.452725263,0.429985311,-0.228931457
51,0.436666667,0.956400619,15.91849807,4845.96,740920.0,1,1.452725263,0.429985311,0.998611722
