,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
0,1.158780769,3.990646904,16.02650132,2974.9,472193.0,1,1.452725263,0.429985311,-0.413376116
1,1.263911136,1.066291834,13.40982538,5812.02,740466.0,1,1.452725263,0.429985311,-0.141527228
2,1.266227689,2.374946899,15.35890886,4984.93,723774.0,1,1.452725263,0.429985311,-0.641415045
3,1.660635279,3.553771788,15.13642145,4588.15,571275.0,1,1.452725263,0.429985311,-0.006276792
4,1.412590352,3.287459478,15.64170064,4154.27,475667.0,1,1.452725263,0.429985311,-0.680930031
5,1.376487108,3.186362976,15.30425031,5602.27,761528.0,1,1.452725263,0.429985311,0.573249943
6,1.646953496,3.006068007,15.21815494,5643.33,463123.0,1,1.452725263,0.429985311,-0.480187055
7,1.392282642,2.979120818,15.62656369,5282.07,471362.0,1,1.452725263,0.429985311,-0.185555911
8,1.970862911,4.001674697,16.24457335,2391.21,508738.0,1,1.452725263,0.429985311,0.034943971
9,1.822616461,3.013184743,14.84159141,2246.43,502677.0,1,1.452725263,0.429985311,0.13560747
10,1.765485504,3.242928401,15.45827817,2382.67,500281.0,1,1.452725263,0.429985311,0.625896525
11,1.124118392,1.407038171,15.83384385,4536.15,1067153.0,1,1.452725263,0.429985311,-0.564160238
12,1.079472242,3.28872203,15.7395633,2780.85,552701.0,0,1.452725263,0.429985311,-0.83451707
13,1.240332044,1.613360809,13.34968763,2463.98,1025264.0,1,1.452725263,0.429985311,-0.913140379
14,1.565875824,3.10298981,15.6023052,4374.47,583561.0,1,1.452725263,0.429985311,-0.112356829
15,1.458255946,3.07069521,15.67120874,2064.15,512571.0,1,1.452725263,0.429985311,-0.387726212
16,1.022457779,1.450817257,15.74590286,6378.16,1077079.0,1,1.452725263,0.429985311,-0.613055296
17,1.112490038,1.423270113,12.233174,5699.29,1054382.0,1,1.452725263,0.429985311,-1.067693008
18,1.141110335,3.091428181,15.46540892,2735.25,482787.0,1,1.452725263,0.429985311,-0.841517364
19,1.296775721,1.311314357,13.5845494,4979.04,758534.0,1,1.452725263,0.429985311,-0.352524896
20,1.689808864,3.371137274,15.94585541,4159.25,470134.0,1,1.452725263,0.429985311,-0.14897447
21,1.403809274,1.30347876,13.18766777,4355.42,766247.0,1,1.452725263,0.429985311,-0.67096672
22,1.094124312,3.175684746,15.81578377,2824.14,552000.0,1,1.452725263,0.429985311,-0.530537811
23,1.312998825,3.588296525,15.86004643,2404.21,492032.0,1,1.452725263,0.429985311,-0.805999681
24,1.282416747,3.590790343,16.16321297,2244.85,553749.0,1,1.452725263,0.429985311,-1.283469231
25,1.023986954,1.194263323,15.48055931,2392.1,1036740.0,0,1.452725263,0.429985311,-0.858579419
26,1.165893889,1.545346177,15.80628277,5248.14,1080000.0,1,1.452725263,0.429985311,-0.907527017
27,1.200707432,3.296420739,15.45973483,2776.88,1074367.0,1,1.452725263,0.429985311,-0.226881977
28,1.747834032,2.549419845,15.73458802,4249.1,770198.0,1,1.452725263,0.429985311,0.245714139
29,1.346322952,2.83552378,13.14250738,3441.53,568356.0,1,1.452725263,0.429985311,-0.30872904
30,2.288324758,3.288584285,15.55085978,9550.99,545464.0,2,1.452725263,0.429985311,2.058918684
31,2.015212203,2.984554254,16.57490016,2807.05,475326.0,1,1.452725263,0.429985311,0.589179307
32,1.124384085,3.198822465,15.64993726,5079.64,517982.0,1,1.452725263,0.429985311,-0.319183624
33,1.706149125,3.436542857,15.36204283,9470.25,1515469.0,2,1.452725263,0.429985311,0.96437352
34,2.275141732,2.855451213,16.09019285,2343.97,514306.0,1,1.452725263,0.429985311,1.418160329
35,1.505854791,2.985851394,15.5589695,4321.08,561441.0,1,1.452725263,0.429985311,-0.421949797
36,2.041772925,2.783934589,15.41249883,8662.58,565242.0,1,1.452725263,0.429985311,0.197439164
37,1.38075362,1.221673737,13.35449694,5479.56,742968.0,1,1.452725263,0.429985311,-1.239138843
38,1.601573486,2.326006121,15.21045707,2981.83,503890.0,1,1.452725263,0.429985311,-0.390192831
39,1.15853784,1.290415525,13.07709441,5186.6,782864.0,0,1.452725263,0.429985311,-0.417429218
40,1.504874071,3.454881978,15.89880817,5864.34,1061194.0,1,1.452725263,0.429985311,-0.289919405
41,1.670364574,2.869049484,15.8793907,5037.75,746272.0,1,1.452725263,0.429985311,-0.680931456
42,1.658316524,3.29153429,15.89525647,4614.47,592302.0,1,1.452725263,0.429985311,1.654927934
43,1.153780166,1.371701323,16.00045315,5461.92,1045168.0,1,1.452725263,0.429985311,-0.801385043
44,1.745371379,2.666339281,15.65603187,5774.25,431703.0,2,1.452725263,0.429985311,0.427208137
45,1.225219654,3.084038092,16.15615901,2493.42,519394.0,1,1.452725263,0.429985311,-0.626754219
46,1.239426857,3.6410237,15.83034381,2700.24,501674.0,1,1.452725263,0.429985311,0.73914803
47,1.145803797,3.124863071,15.17100404,5240.01,1047820.0,1,1.452725263,0.429985311,-0.714517829
48,1.665317548,3.828911971,16.56476506,2064.15,493801.0,1,1.452725263,0.429985311,0.286305357
49,1.440642073,3.879196811,16.52751694,9429.09,523846.0,1,1.452725263,0.429985311,0.090905903
50,1.037332708,1.12457616,15.67086035,5271.1,1028639.0,1,1.452725263,0.429985311,-0.178481871
51,1.398462065,3.653704058,14.90438314,2181.81,435473.0,1,1.452725263,0.429985311,1.09363659
52,1.214837541,3.610725344,15.63480958,4264.46,555732.0,1,1.452725263,0.429985311,-0.929630847
53,1.018139817,1.569940098,11.65794382,5454.52,1085214.0,0,1.452725263,0.429985311,-0.865825274
54,2.788272563,3.426446255,15.71219142,10254.45,519783.0,2,1.452725263,0.429985311,3.168166614
55,1.517806341,3.290797267,15.65737346,5407.78,1059855.0,1,1.452725263,0.429985311,-0.727800942
56,1.703844997,1.31706794,13.48799331,4377.39,1073482.0,1,1.452725263,0.429985311,0.559396784
57,1.511106467,3.598274344,15.86071926,9443.15,533681.0,1,1.452725263,0.429985311,0.847772533
58,1.152221728,3.129352758,15.64897914,2632.52,454113.0,1,1.452725263,0.429985311,-0.301545905
59,1.538443795,3.03516065,16.24949067,2923.7,546297.0,1,1.452725263,0.429985311,-0.578130327
60,1.492884592,2.964592634,16.07165469,5598.28,1111142.0,1,1.452725263,0.429985311,-0.978617697
61,1.484251033,2.481393831,15.78698084,2406.28,495578.0,1,1.452725263,0.429985311,0.775366708
62,1.246509538,2.934614747,15.80492679,2443.57,529801.0,1,1.452725263,0.429985311,0.261882405
63,1.802436133,2.859366788,15.49389957,2902.67,1055879.0,1,1.452725263,0.429985311,-0.533928149
64,1.262346427,3.12065644,16.03743837,3981.88,467598.0,1,1.452725263,0.429985311,-0.933001534
65,1.235892894,1.41031836,12.88862749,2524.57,1081445.0,1,1.452725263,0.429985311,-0.812226932
66,1.777021933,2.997239085,15.37437027,5965.51,1040759.0,1,1.452725263,0.429985311,0.69885698
67,1.679490685,3.135763913,15.22869577,3115.34,517628.0,1,1.452725263,0.429985311,0.526313238
68,0.436666667,0.470698041,15.81473473,2093.29,424324.0,0,1.452725263,0.429985311,-2.363007689
69,1.584073457,4.023731623,16.08977616,7560.85,404367.0,1,1.452725263,0.429985311,-0.063976792
70,1.394513057,1.348253588,13.54546975,5554.43,1072353.0,1,1.452725263,0.429985311,0.127263174
71,0.9500673,0.502435403,12.15400607,2941.82,491003.0,0,1.452725263,0.429985311,-0.81869595
72,1.327773215,2.998413518,15.5847734,3877.61,536602.0,1,1.452725263,0.429985311,0.18541725
73,1.222673727,3.885665879,16.17634748,2574.69,524371.0,1,1.452725263,0.429985311,-0.584895926
74,1.049713553,3.095716169,15.99380985,5170.5,507593.0,1,1.452725263,0.429985311,-0.638722497
75,1.688678287,3.625724855,16.43548357,6917.41,509848.0,1,1.452725263,0.429985311,0.293200392
76,1.428284087,3.537319007,12.84703158,3006.22,1041063.0,1,1.452725263,0.429985311,0.309675613
77,1.559648665,3.81633598,15.63200767,2692.53,1049768.0,1,1.452725263,0.429985311,0.102495964
78,1.747270075,3.059735365,16.47448349,5898.4,1079719.0,1,1.452725263,0.429985311,0.038633722
79,1.166734652,4.032111034,16.01442866,2254.93,490694.0,1,1.452725263,0.429985311,-0.480456327
80,1.89001705,3.517308874,15.82863726,4671.14,478001.0,1,1.452725263,0.429985311,1.066999992
81,1.56249897,3.637718049,16.0715686,4876.76,556857.0,1,1.452725263,0.429985311,0.045825056
82,1.43187413,2.553135034,15.67407127,4694.81,758613.0,1,1.452725263,0.429985311,-0.279448695
83,1.409844743,1.346566605,14.00344476,4142.95,781990.0,1,1.452725263,0.429985311,-0.330173231
84,0.807505904,3.6288902,15.73972183,3054.28,532862.0,1,1.452725263,0.429985311,-0.646412654
85,1.554744523,3.176244632,15.83183947,2064.15,530167.0,1,1.452725263,0.429985311,-0.137981187
86,1.002888609,3.795647608,15.40962413,5732.74,1091147.0,1,1.452725263,0.429985311,-0.61276411
87,1.419670973,1.397864038,14.68169909,5584.91,788324.0,1,1.452725263,0.429985311,-0.847659518
88,1.736653622,3.30611249,15.95935178,2986.64,434907.0,1,1.452725263,0.429985311,0.408682461
89,1.178798668,2.816618608,11.93283486,2476.7,475264.0,1,1.452725263,0.429985311,-0.093943912
90,0.955984979,2.907557725,15.49500617,2509.16,525638.0,0,1.452725263,0.429985311,-0.885341126
91,1.131734179,3.543658502,15.71891124,2409.05,432164.0,1,1.452725263,0.429985311,-0.728211508
92,1.602942423,3.341555935,15.5899947,5114.51,563752.0,1,1.452725263,0.429985311,-0.389055056
93,1.486632016,3.433832758,12.54039202,2617.96,1054092.0,1,1.452725263,0.429985311,-1.016717923
94,1.282886771,1.568880647,12.14872533,5486.97,731591.0,1,1.452725263,0.429985311,-0.684001652
95,1.327769389,3.387806256,16.2418817,5422.86,1093044.0,1,1.452725263,0.429985311,-0.20216001
