,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.449225433,1.404398936,13.00933574,4387.03,731126.0,1
1,1.409707515,3.614239393,16.20232198,8792.09,444190.0,1
2,2.170078229,2.913722874,15.20533614,2911.77,435656.0,2
3,1.207438805,3.535875857,15.92988653,2907.84,536032.0,0
4,1.343186112,3.572479122,15.97165188,2300.35,1076144.0,1
5,0.592790398,2.662659601,15.8344277,1942.04,507343.0,0
6,1.332838966,1.829665866,15.92015569,5399.02,1096209.0,1
7,1.493369372,3.727790187,16.41444429,2847.34,458884.0,0
8,1.272448975,3.553047436,16.21536326,2459.96,466243.0,1
9,1.592488104,1.46523081,12.94087812,3548.73,466761.0,1
10,1.49200369,3.121679034,16.51747589,4455.62,561264.0,1
11,1.296780957,1.403174573,12.86598911,4901.37,763974.0,1
12,1.2188723,1.495817828,12.64395394,5109.65,1107493.0,0
13,1.535343489,3.320822057,16.53593166,2370.63,454873.0,1
14,1.581869815,1.558982422,15.1644321,5450.8,1086490.0,1
15,2.868727513,2.833931257,15.31445533,5455.75,783468.0,2
16,1.43852178,1.592840027,12.80949417,5287.76,1067874.0,0
17,2.215035453,0.468510814,15.27192074,9909.26,1047360.0,2
18,1.577648761,3.689028915,16.01153541,2252.51,404044.0,1
19,1.835967688,2.816768947,13.56208424,2781.17,427743.0,1
20,1.564463104,3.536723469,15.46041612,5236.81,1115233.0,1
21,1.519218933,3.00704206,15.37174509,4018.11,763703.0,1
22,1.11301736,3.749713389,15.83998001,2742.23,551535.0,0
23,1.479211518,3.1452812,16.45235013,2815.59,491726.0,1
24,0.995438717,3.017561145,16.28668301,4625.98,479042.0,1
25,1.124100687,1.479739451,16.24783381,5068.8,516216.0,0
26,1.482956257,3.085360866,16.02122001,4244.84,776112.0,1
27,1.383835258,3.529572649,16.4306476,2401.39,412962.0,1
28,1.361871912,1.530769238,15.6086738,2843.05,449242.0,1
29,1.156439102,0.714574804,15.9051238,4142.39,752020.0,1
30,2.166209441,3.165409874,15.7449505,9697.27,1515469.0,2
31,1.570820058,3.06959429,16.15893965,4172.94,533423.0,1
32,2.677556412,3.020079241,15.85652824,2544.0,490896.0,2
33,1.226098029,1.691429922,13.25758246,2821.35,1068310.0,0
34,1.108297713,3.724323513,15.70715144,9261.5,767155.0,0
35,1.648243954,1.581439066,13.14336458,5874.55,1050485.0,1
36,2.413725455,1.583549571,15.45936645,2682.68,1055674.0,2
37,2.252580619,3.437990575,15.54286045,5545.34,520391.0,2
38,1.313243906,1.560341612,15.46144391,5871.01,1084982.0,1
39,1.462865803,1.498487814,13.69266658,5747.77,1056262.0,1
40,0.690293645,0.427498907,12.89060273,6990.48,1074182.0,0
41,1.511431749,1.632821561,15.09719552,4349.19,760772.0,1
42,1.157990317,3.201355704,16.53034745,5565.58,1078513.0,0
43,1.567533774,3.704858294,16.17669192,2678.6,511681.0,1
44,2.382671358,0.317344283,12.55367008,7508.54,1035730.0,2
45,1.44352013,3.285391004,16.22495057,5796.39,1054692.0,1
46,1.740016979,3.35535559,16.31787209,2491.83,473984.0,2
47,1.177878775,2.287115939,13.69867497,1942.04,758061.0,1
48,1.265977955,3.121375211,15.36184534,2611.69,584045.0,0
49,1.372126065,3.185069717,15.83233922,9803.02,1515469.0,0
50,1.114226338,3.460921651,16.48343505,4483.9,512771.0,1
51,2.747626694,2.597925825,15.2842288,5923.01,477280.0,2
52,1.307919022,1.305027758,14.99905956,5100.21,1048458.0,1
53,1.538631783,3.529100624,15.64891486,6753.18,1023230.0,1
54,1.446528785,3.558023902,16.15880143,4610.7,480538.0,1
55,1.510673046,2.488301684,12.78257021,3148.09,391732.0,1
56,1.36178811,2.657574141,16.37723793,3994.96,519064.0,1
57,1.541188857,3.054354355,16.09619285,7482.66,1055593.0,1
58,1.41371902,1.554830478,15.55375236,2753.18,1088950.0,0
59,1.876438238,3.066904809,15.49963641,10349.07,1505677.0,2
60,2.164929825,2.739609724,13.15303892,2672.31,1061362.0,1
61,1.674957326,3.60067879,15.70372882,2836.47,556803.0,1
62,0.929018811,0.857502061,12.10852441,2464.51,743256.0,0
63,1.505790005,1.416085491,12.17197956,2622.47,430569.0,1
64,1.306998592,3.359567843,15.26530126,7105.72,1056398.0,1
65,1.223242836,1.440116474,15.5950269,1987.75,1061846.0,1
66,2.438275181,2.810838262,15.75915595,6596.64,1069183.0,2
67,1.210737251,3.000329937,13.63565039,2344.59,438731.0,1
68,1.26858049,1.33473406,12.75848418,5215.06,1103090.0,1
69,1.495304697,3.337682024,16.23766466,2082.97,415487.0,1
70,1.118332721,1.429796353,14.84106,2749.01,469440.0,1
71,1.362299634,3.006078007,15.97280669,2964.32,497607.0,0
72,1.401798933,3.326268683,12.01516068,4373.68,723898.0,1
73,1.482247576,3.292255831,15.53719373,3445.36,528252.0,1
74,1.919134174,3.790129481,15.52554376,2922.72,500249.0,2
75,2.262733874,3.140480675,15.92944289,5227.3,763031.0,2
76,1.124962986,1.683484712,15.36805205,2765.28,523870.0,1
77,1.408954567,3.128759029,16.47667562,2961.41,485877.0,1
78,1.698731134,1.467785157,15.62917244,5306.74,1106080.0,1
79,1.916578359,1.436750706,15.89167367,5554.46,1075819.0,2
80,1.373285167,2.904065976,15.76072136,2745.52,594972.0,0
81,1.571405752,3.493153542,16.04714865,2736.37,434373.0,1
82,1.264983549,3.501028617,16.48066375,4144.14,540298.0,1
83,1.438310366,1.514589741,15.74071358,3947.47,752602.0,1
84,1.233150851,3.054918425,15.93209276,4510.1,762131.0,1
85,1.74417774,2.422212433,13.27609517,5450.22,1078133.0,0
86,1.4893082,2.862352889,14.27475193,3030.04,464982.0,2
87,1.187845367,3.463218601,16.0601181,2730.39,508605.0,0
88,1.278755225,3.031247101,15.66697837,2757.39,438541.0,1
89,1.290235006,3.414880524,16.42383483,3006.81,1097418.0,0
90,1.410277178,1.429827928,12.82893142,5463.55,753440.0,1
91,1.471036232,2.467609867,16.45440926,5503.02,1087695.0,1
92,1.164911712,1.442329412,11.65794382,5433.15,1081441.0,1
93,1.271146554,3.244457211,16.01171066,2730.58,493991.0,0
94,1.22447946,1.475095368,13.63702886,5292.48,1096435.0,1
95,1.289277818,3.318445229,15.97690692,2190.98,490697.0,1
96,1.570542838,1.610247487,12.12895891,5566.87,1067644.0,1
97,1.211679308,3.097399739,16.85328339,2982.24,557305.0,0
