,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Georgia,Athens,11/1/2007,CW 36106,12/7/2009,287,2.27,816,409,5320.75,596.1254127056638,24.29323534,46.84396246056376,25.25286451,0.6722131990000001
1,Georgia,Tifton,10/10/2007,Bulldog 805,11/1/2010,281,4.21,723,76,3899.12,500.7170663043518,36.53235894,32.899076761594515,24.63693333,0.2062388981218501
2,Georgia,Athens,2/21/2008,Hybri Force 700,10/22/2009,300,2.27,592,94,3819.34,1078.1861065433034,25.35000355,12.54377222,24.63693333,0.15498838431867468
3,Georgia,Tifton,11/1/2007,PGI 801,12/7/2009,288,4.43,364,409,3911.25,1323.896,37.25753986,15.379088818070315,24.63693333,0.205658497524939
4,Georgia,Tifton,2/21/2008,BaraWet 501,12/5/2008,296,4.57,671,142,5320.75,461.5529011542586,36.02224471,12.54377222,38.954826,0.603135439025777
5,Georgia,Athens,2/21/2008,TS 8031,11/11/2008,315,2.27,798,1,5320.75,1082.9426734561148,27.82953732,16.643970246283033,24.63693333,0.116674048
6,Georgia,Midville,10/10/2007,TS 4010,8/14/2009,313,2.46,831,25,3245.3,1183.1118764695211,32.16576276,14.003451909905053,31.93019557,0.13090557090779043
7,Georgia,Midville,10/10/2007,Attention II,11/1/2010,277,2.27,1118,409,4140.97,565.4154760415776,18.35404444,24.570911864659717,49.24640246,0.12448982492135098
8,Georgia,Tifton,10/10/2007,Bara 503,11/1/2010,226,2.83,687,409,3564.7,497.271654907599,110.35880971,24.10578815805285,33.7204595,0.6722131990000001
9,Georgia,Midville,2/21/2008,Hybri Force 600,8/14/2009,286,3.65,1118,52,4609.29,413.282,18.35404444,12.54377222,38.59397259,0.116674048
10,Georgia,Tifton,2/21/2008,GA-505,12/5/2008,308,3.74,803,409,4822.98,470.772095010505,28.82071806,12.54377222,41.42355198,0.14213122221165247
11,Georgia,Athens,2/21/2008,Hybri Force 700,8/14/2009,282,3.7,692,298,3185.17,1323.896,31.10715137,17.195867599875417,24.63693333,0.21633720898481978
12,Georgia,Midville,10/10/2007,Evermore,11/1/2010,336,2.27,769,346,4035.41,1323.896,31.46620769,21.87811761592841,35.84812736,0.1205275517966499
13,Georgia,Tifton,10/10/2007,CW 500,11/20/2008,291,2.27,1118,285,5222.78,586.8428163495398,22.93237413,12.54377222,26.51393384,0.21967508849456086
14,Georgia,Midville,10/10/2007,Attention II,11/17/2010,314,2.27,727,409,4557.08,755.4492998623275,19.75251902,16.718195496461295,176.8482793,0.16091383808218424
15,Georgia,Tifton,11/1/2007,GA-505,12/7/2009,310,2.41,847,409,5274.32,488.736561285736,26.16326685,54.57118991534332,32.39874085,0.1469803117640518
16,Georgia,Athens,11/1/2007,Bara 503,12/5/2008,309,2.27,724,409,3698.15,413.282,18.35404444,12.54377222,24.63693333,0.1824054076356646
17,Georgia,Tifton,11/1/2007,Hybri Force 600,11/1/2010,311,2.27,807,86,3657.99,1095.834449768181,34.13657497,105.98888659999999,35.37397916,0.18257248820798308
18,Georgia,Tifton,10/10/2007,TS 4010,12/5/2008,295,3.33,702,133,4236.78,904.4080126393073,22.97968086,15.884034292569394,24.63693333,0.20145587441045593
19,Georgia,Tifton,10/10/2007,Attention II,12/5/2008,315,2.27,712,63,5320.75,701.4036480277099,35.21124777,12.54377222,26.66149087,0.116674048
20,Georgia,Midville,2/21/2008,PGI 801,8/14/2009,323,3.17,1118,332,3657.51,710.1450362251437,30.66694809,87.33726415176726,39.33806393,0.20243247959845573
21,Georgia,Tifton,2/21/2008,BaraWet 501,11/1/2010,226,4.0,754,115,3547.89,413.282,25.41085172,12.813006059372784,33.15989784,0.49510474562888246
22,Georgia,Midville,10/10/2007,TS 4010,11/20/2008,290,3.55,876,284,3952.57,862.5734384956718,138.9297511,12.54377222,26.29853558,0.22517992022492875
23,Georgia,Midville,10/10/2007,Attention II,12/5/2008,313,2.27,885,409,4254.73,1323.896,33.66448574,12.54377222,36.83450842,0.19019973422992328
24,Georgia,Athens,2/21/2008,Bara 503,11/20/2008,326,2.27,647,369,5320.75,1323.896,37.02906662,12.853173628424372,25.6340317,0.116674048
25,Georgia,Midville,2/21/2008,Attention II,11/1/2010,293,2.27,1118,409,4099.33,549.9175336023914,28.51388204,12.54377222,24.63693333,0.6722131990000001
26,Georgia,Athens,10/10/2007,Attention II,11/1/2010,307,2.27,563,131,3891.91,813.543756169482,34.72225959,12.54377222,24.63693333,0.21853067886722408
27,Georgia,Tifton,11/1/2007,GA-505,11/17/2010,291,2.97,1118,409,2901.72,1006.0778727620694,29.85036401,105.98888659999999,32.41076618,0.6722131990000001
28,Georgia,Midville,10/10/2007,Hybri Force 700,11/11/2008,292,3.06,676,409,3329.89,947.6854576816394,34.19348551,53.02309963289337,36.89486661,0.21821442940981137
29,Georgia,Tifton,11/1/2007,PGI 801,12/5/2008,337,6.83,820,409,3142.93,577.3240040336706,29.77360167,12.54377222,32.72255839,0.183338536566237
30,Georgia,Athens,2/21/2008,Bara 503,12/7/2009,290,2.27,1064,409,3639.61,650.3622090741641,25.90029923,62.12331120697874,24.63693333,0.15814359397555733
31,Georgia,Tifton,2/21/2008,Bulldog 805,11/20/2008,309,3.99,1106,409,4504.13,961.7968220886186,25.52697648,39.51432341885501,26.07047773,0.11740615075101432
32,Georgia,Athens,2/21/2008,CW 36106,11/1/2010,331,2.27,427,116,4619.69,1138.970100473208,118.00052517,60.92336005287886,34.59644589,0.116674048
33,Georgia,Tifton,10/10/2007,BaraWet 501,12/5/2008,294,2.27,736,28,4973.66,413.282,138.9297511,47.15196119719525,26.27095024,0.6722131990000001
34,Georgia,Athens,2/21/2008,CW 500,12/5/2008,301,3.71,766,409,3355.56,1323.896,30.87359528,14.430081896060253,33.82754761,0.2129943549000683
35,Georgia,Midville,10/10/2007,Attention II,11/20/2008,322,2.69,827,84,4247.48,485.5386254271457,23.88141064,65.49080837493419,176.8482793,0.2116483523295647
36,Georgia,Midville,2/21/2008,Attention II,8/14/2009,278,6.23,695,121,4428.34,984.8123040565436,26.32954187,22.11213672989976,27.12180575,0.22589083806675758
37,Georgia,Athens,11/1/2007,GA-505,11/17/2010,226,3.2,1108,409,3629.23,563.4430311300046,23.54314607,12.54377222,42.61204643,0.5528921945268319
38,Georgia,Athens,11/1/2007,Evermore,12/5/2008,295,4.64,304,409,2901.72,504.0828864949211,117.9751004,22.615519920533526,24.63693333,0.16020882478341042
39,Georgia,Athens,10/10/2007,Bulldog 805,11/1/2010,338,6.58,511,409,3266.3,578.9629733546969,138.9297511,105.98888659999999,38.82449199,0.116674048
40,Georgia,Athens,11/1/2007,Bara 503,12/5/2008,315,4.45,708,409,5320.75,413.282,28.65984886,21.68707254145215,29.52838614,0.116674048
41,Georgia,Tifton,2/21/2008,CW 35106,8/14/2009,286,2.27,605,270,3798.15,1002.9734181802296,26.68049725,90.850347838213,45.85784781,0.14270071478608595
42,Georgia,Tifton,10/10/2007,Hybri Force 700,10/22/2009,324,2.27,560,409,3864.64,1323.896,26.34347798,105.98888659999999,36.75792536,0.116674048
43,Georgia,Athens,10/10/2007,PGI 801,11/11/2008,276,2.27,597,371,3731.48,484.1015935582027,26.1569509,81.44251307500402,24.63693333,0.22299921453095056
44,Georgia,Athens,10/10/2007,Attention II,8/14/2009,288,3.24,832,1,3799.86,1010.9392079930298,26.21909329,19.708175285756674,44.49736505,0.116674048
45,Georgia,Midville,10/10/2007,CW 500,11/17/2010,296,4.27,709,399,3793.55,1323.896,21.62096637,12.54377222,37.78077415,0.2095082756827411
46,Georgia,Athens,10/10/2007,PGI 909,11/1/2010,275,5.6,1118,334,4172.44,522.5153749330821,36.44383104,12.54377222,32.59619205,0.19282732727073498
47,Georgia,Midville,10/10/2007,PGI 909,11/11/2008,235,2.27,774,409,3428.49,413.282,18.35404444,13.418564385774632,24.63693333,0.12306500730772549
48,Georgia,Tifton,2/21/2008,TS 4010,8/14/2009,306,2.91,1118,409,4590.91,1166.3528984751815,29.30005658,20.284721436567523,40.65714814,0.12156906171656619
49,Georgia,Athens,10/10/2007,Bara 503,11/20/2008,254,2.27,1118,148,5320.75,1037.3704461291597,27.04858492,23.425232275928703,31.56198085,0.116674048
50,Georgia,Midville,10/10/2007,Attention II,8/14/2009,326,3.15,676,316,3273.72,491.3741248795651,20.82893123,12.54377222,40.44375098,0.16813194843304707
51,Georgia,Tifton,10/10/2007,Bulldog 805,10/22/2009,276,4.23,846,409,4725.84,924.5631661362224,28.35976608,105.98888659999999,41.76121241,0.3342631418930864
52,Georgia,Athens,11/1/2007,TS 4010,12/5/2008,269,3.3,1118,73,3119.07,837.9696819411333,18.35404444,12.720397570026469,24.63693333,0.17623087223646247
53,Georgia,Midville,11/1/2007,GA-505,12/5/2008,285,2.27,499,409,4231.32,413.282,22.57022904,105.98888659999999,25.62927544,0.21965437785486508
54,Georgia,Tifton,10/10/2007,Bulldog 805,11/1/2010,306,4.61,572,409,3074.74,1258.231981192282,18.35404444,18.25449172407297,34.27053592,0.116674048
55,Georgia,Tifton,10/10/2007,BaraWet 501,12/5/2008,303,3.87,754,409,4061.33,413.282,28.62644357,81.71187214582557,24.63693333,0.6722131990000001
56,Georgia,Tifton,11/1/2007,Evermore,11/11/2008,281,2.27,469,409,5243.47,1019.6865171115896,18.35404444,26.51029761363944,30.5221726,0.5203144266637445
57,Georgia,Midville,11/1/2007,Bulldog 805,12/7/2009,314,3.98,964,65,4223.42,931.2873627572212,129.36269932,12.54377222,24.63693333,0.116674048
58,Georgia,Tifton,11/1/2007,Evermore,11/20/2008,341,2.27,1118,389,4956.45,959.749832692259,34.54848813,12.54377222,38.57377235,0.1820562141859436
59,Georgia,Athens,10/10/2007,Hybri Force 600,10/22/2009,293,2.27,889,409,4154.51,636.0336850774665,18.35404444,105.98888659999999,41.86772358,0.11688793636321691
60,Georgia,Tifton,10/10/2007,Hybri Force 600,10/22/2009,274,2.27,595,406,3394.99,675.5550993056958,26.20901487,40.54924743142553,24.63693333,0.6722131990000001
61,Georgia,Tifton,11/1/2007,Attention II,11/1/2010,301,3.64,756,409,4279.0,496.3856858173456,22.23597168,21.679194433097994,34.89864547,0.20300865361627551
62,Georgia,Tifton,2/21/2008,CW 35106,12/5/2008,290,2.27,809,409,5092.61,809.8134451005587,32.45324597,14.111484613346494,24.63693333,0.16026582528963332
63,Georgia,Athens,10/10/2007,Bara 503,11/1/2010,226,4.35,1118,130,3040.94,413.282,27.29288094,12.87754571032135,29.93197553,0.21666171052624333
64,Georgia,Midville,2/21/2008,Attention II,10/22/2009,286,4.37,764,409,3489.67,494.8291201472422,18.35404444,24.692107850318564,31.08423394,0.1868869125834724
65,Georgia,Athens,10/10/2007,Bara 503,11/1/2010,318,5.27,816,71,3059.25,413.282,21.94626916,12.54377222,32.94761819,0.116674048
66,Georgia,Tifton,10/10/2007,Bara 503,12/5/2008,306,2.27,883,409,5030.52,1103.4548226870174,26.62650371,16.411163977508572,24.63693333,0.22474077423370967
67,Georgia,Tifton,11/1/2007,GA-505,11/1/2010,270,6.83,767,409,3968.88,1068.954927770954,34.36058249,18.718727012991945,24.63693333,0.1514646087209886
68,Georgia,Midville,11/1/2007,PGI 801,12/5/2008,280,2.99,1076,61,3279.84,955.9287541399888,19.52905649,12.54377222,41.06133817,0.2015088856051102
69,Georgia,Tifton,10/10/2007,Attention II,11/20/2008,277,3.06,675,409,4698.75,413.282,24.26941036,12.54377222,33.29086538,0.116674048
70,Georgia,Athens,11/1/2007,Evermore,8/14/2009,327,2.27,1118,266,2975.75,827.4557345614963,23.42377532,12.54377222,24.63693333,0.116674048
71,Georgia,Midville,10/10/2007,Hybri Force 600,11/11/2008,287,2.27,769,1,3669.17,498.3994354486998,26.58130406,15.984095608090039,34.30877711,0.17219261720372023
72,Georgia,Tifton,10/10/2007,GA-505,12/5/2008,317,2.41,1118,160,5277.55,436.2211819867506,18.35404444,28.732431701491436,38.8477423,0.116674048
73,Georgia,Tifton,10/10/2007,Bara 503,10/22/2009,275,2.27,819,370,3811.41,688.5837379248056,18.35404444,15.462922555284878,24.63693333,0.23852324248065027
74,Georgia,Tifton,2/21/2008,GA-505,11/1/2010,284,3.84,847,399,4515.94,1266.4284029291184,37.60269651,12.54377222,33.73606039,0.20874876625655422
75,Georgia,Midville,10/10/2007,BaraWet 501,8/14/2009,298,5.4,1118,388,3798.19,931.4751203920983,31.90844164,15.481770775652887,88.15575623,0.6722131990000001
