,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Kentucky,Lexington,3/31/2015,AFX095005,9/15/2017,261,3.35,286,336,2239.52,770.4,18.73113366,15.721389661194577,25.4870389,0.28300390379749174
1,Kentucky,Lexington,3/31/2015,GA-ALFG-1,9/19/2016,263,5.41,722,382,3640.59,480.4,20.92027887,14.143836073034384,27.63599561,0.2807743968922452
2,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,8/12/2013,230,6.34,164,18,3239.03,404.0,21.81284746,15.604498656216519,29.25310714,0.30300085158281814
3,Kentucky,Lexington,8/9/2012,Evermore,9/12/2018,254,7.79,838,29,3172.85,986.2,17.60733333,13.580732421293426,25.31612064,0.29066083149709493
4,Kentucky,Lexington,8/9/2012,Evermore,9/16/2015,262,7.79,1304,337,3404.49,518.4,19.29450066,16.385746444418427,26.87357026,0.2842288072366709
5,Kentucky,Lexington,4/5/2016,Radiance HD,9/13/2018,254,7.79,1345,376,3269.33,404.0,20.20952817,14.352181788266279,29.25310714,0.2729625
6,Kentucky,Lexington,8/9/2012,NF11ALF006,9/18/2014,261,2.93,609,327,3228.79,751.1,23.76630395,15.70542852704933,25.79540779,0.2729625
7,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,257,6.61,2225,362,3617.34,662.9,20.1298305,16.12703253960445,25.19649566,0.2813741631627648
8,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,9/12/2018,258,5.42,1319,326,3485.06,812.4,23.24071834,15.659614756608537,29.25310714,0.2729625
9,Kentucky,Lexington,4/5/2017,GA-ALFG-1,9/19/2016,263,3.42,480,358,3175.04,720.5,23.79017857,13.832144201644569,25.7553083,0.2798256205998665
10,Kentucky,Lexington,4/5/2016,FSG-426,9/14/2017,255,3.84,1792,1,3466.5,847.6,20.04274029,15.782275145630724,29.25310714,0.2729684475324328
11,Kentucky,Lexington,8/9/2012,Evermore,9/17/2015,256,3.31,2225,1,3651.2,807.8,22.75447369,15.514110044401084,26.82828999,0.27440358814067134
12,Kentucky,Lexington,3/31/2015,Ameristand 403T Plus,8/12/2013,255,4.77,298,321,3183.52,802.7,21.09281571,16.022742106790677,25.13669041,0.30119597687475314
13,Kentucky,Lexington,4/5/2017,Withstand,9/13/2018,254,2.65,403,314,3408.62,700.1,19.95924458,16.00032439266881,28.71158281,0.27545285867178054
14,Kentucky,Lexington,8/9/2012,Ameristand 427TQ,8/12/2013,257,6.71,832,325,3252.69,404.0,20.52757099,15.605922707996669,27.58092315,0.29852091372155454
15,Kentucky,Lexington,4/5/2016,AM-14-900,9/13/2018,260,5.67,2095,1,3382.32,752.8,19.59917428,12.877853576829203,25.04276706,0.2814386340620881
16,Kentucky,Lexington,3/31/2015,Caliber,9/15/2017,253,5.82,1999,1,3247.08,805.5,20.18434365,15.497166789037937,24.87041984,0.30175989827422417
17,Kentucky,Lexington,4/12/2018,55V50,9/19/2016,258,5.82,1461,1,3243.72,759.6,20.65112909,15.603304382664637,28.433805,0.2903484505011272
18,Kentucky,Lexington,4/5/2016,Contender,9/13/2018,258,6.43,519,386,3127.21,1043.2,19.1615575,12.845170075072632,25.08802455,0.27901327413503296
19,Kentucky,Lexington,4/5/2016,CW 065030,9/15/2017,255,7.46,813,335,3230.44,700.7,23.79017857,13.554181243025036,25.69336529,0.313480989
20,Kentucky,Lexington,4/5/2017,GA-505,9/12/2018,256,7.79,679,25,3641.04,421.9,20.71467299,15.613469321224343,25.49222611,0.27726871045370644
21,Kentucky,Lexington,3/31/2015,GA-505,9/13/2018,258,5.76,435,315,3390.92,466.7,19.60208557,16.014180173006924,25.19169707,0.27606724220344886
22,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,9/19/2016,262,4.46,896,316,3453.11,758.5,20.82386789,14.651357334463052,25.60275204,0.2729884237501875
23,Kentucky,Lexington,3/31/2015,GA-ALFG-1,9/13/2018,263,1.6,1045,396,3517.66,833.5,19.79682067,16.162732483244337,23.60277455,0.2956041162038676
24,Kentucky,Lexington,8/9/2012,CW 065030,9/15/2017,261,5.23,130,344,3288.32,732.1,22.05245651,16.294314680070542,25.92342799,0.2876761628491643
25,Kentucky,Lexington,4/5/2016,Saranac AR,9/15/2017,260,5.25,1388,339,3126.13,835.6,20.61097354,18.807248895312554,26.73414378,0.2770742444888188
26,Kentucky,Lexington,8/9/2012,Ameristand 427TQ,9/12/2018,263,6.11,989,320,3468.27,716.1,19.47687037,16.38576947737078,25.61410987,0.2729625
27,Kentucky,Lexington,4/5/2016,LS 905,9/13/2018,263,4.74,130,363,3078.24,933.1,19.98547412,13.724832491344815,25.50559315,0.2755433357029916
28,Kentucky,Lexington,4/5/2017,NF11ALF006,9/18/2014,256,5.79,943,2,3391.59,724.8,21.64848813,14.146533603263995,26.30824017,0.28743473753495197
29,Kentucky,Lexington,4/5/2017,Ameristand 427TQ,9/12/2018,256,7.38,1032,398,3152.76,582.5,18.76499917,15.703698439692008,24.76447952,0.292704063108622
30,Kentucky,Lexington,3/31/2015,Ameristand 403T,9/16/2015,254,1.8,337,1,3383.77,698.9,19.26037305,15.534412626183624,25.58403831,0.2886565781989477
31,Kentucky,Lexington,4/12/2018,Evermore,9/13/2018,252,5.82,798,1,3525.62,664.4,20.44976976,15.316657596345099,25.74686207,0.2817651218649194
32,Kentucky,Lexington,8/9/2012,Evermore,9/19/2016,224,2.97,641,1,3502.4,681.9,20.02145105,15.050194142189925,24.83524089,0.3054272294144252
33,Kentucky,Lexington,8/9/2012,FSG-426,9/16/2015,224,7.26,808,354,3355.55,404.0,20.24489038,18.143033934360105,27.70964801,0.2729625
34,Kentucky,Lexington,8/9/2012,Radiance HD,9/17/2015,261,4.46,296,311,3385.13,404.0,18.67295464,15.819642578736943,29.1690007,0.2836870944457647
35,Kentucky,Lexington,8/9/2012,Radiance HD,9/19/2016,259,5.22,1128,327,3393.0,927.5,20.34282974,15.981882824691574,25.27489702,0.29532181108540784
36,Kentucky,Lexington,4/5/2017,Caliber,9/17/2015,256,2.15,888,313,3295.14,797.0,19.93474911,16.048573459173944,25.71261835,0.2952639578127845
37,Kentucky,Lexington,8/9/2012,GA-ALFG-1,9/12/2018,257,6.56,1902,318,3452.74,465.3,19.82904263,16.093629574683803,25.81278501,0.2729625
38,Kentucky,Lexington,8/9/2012,55V50,9/12/2018,259,2.9,1420,378,3134.18,845.0,20.16283568,16.395281640070063,25.78008472,0.28001734077012636
39,Kentucky,Lexington,4/5/2016,Saranac AR,8/12/2013,258,5.91,1275,1,3370.66,786.6,18.7183288,14.644342046037842,24.60510681,0.2928750192466735
40,Kentucky,Lexington,3/31/2015,Evermore,9/15/2017,258,7.74,1544,326,3223.0,969.0,19.48432985,16.139295449325278,28.67946627,0.2918906188092307
41,Kentucky,Lexington,8/9/2012,Radiance HD,9/15/2017,249,2.13,252,391,3584.13,786.3,20.39657608,14.39004323813934,25.70894757,0.2841546041963886
42,Kentucky,Lexington,3/31/2015,Ameristand 403T,9/15/2017,261,5.89,331,343,3378.72,837.4,18.79275596,16.45796017358053,25.27153731,0.2729625
43,Kentucky,Lexington,8/9/2012,Withstand,9/12/2018,263,2.3,298,336,3414.8,798.3,19.54940934,15.383933956030447,24.56165588,0.29679381177625014
44,Kentucky,Lexington,3/31/2015,Saranac AR,9/16/2015,261,6.99,2225,15,3463.6,817.7,19.71929254,14.461286193514113,22.59871398,0.29167643508502855
45,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,261,1.3,1719,8,3157.65,635.9,20.02054018,18.87832738,28.44310663,0.28686503110112815
46,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,260,7.04,902,303,3421.3,779.3,19.24364523,15.011955797881434,24.64524265,0.2729625
47,Kentucky,Lexington,4/5/2016,AFX095005,9/13/2018,263,6.65,323,379,3462.04,830.3,19.64748737,12.61707097,24.46516814,0.2729625
48,Kentucky,Lexington,3/31/2015,Withstand,9/12/2018,261,2.82,880,1,3013.76,825.6,23.79017857,15.698656759303672,26.47585702,0.27533965767961727
49,Kentucky,Lexington,3/31/2015,GA-505,9/19/2016,256,7.5,130,309,3290.31,753.4,21.43361093,12.753716975115035,22.59871398,0.2867345973042047
50,Kentucky,Lexington,8/9/2012,Arc,9/15/2017,258,6.3,972,380,3587.34,404.0,20.84979957,12.61707097,24.64162986,0.282789403529753
51,Kentucky,Lexington,8/9/2012,Evermore,9/17/2015,255,7.19,362,1,3448.11,845.1,20.54504476,12.61707097,29.25310714,0.2811295415313869
52,Kentucky,Lexington,8/9/2012,4030,9/19/2016,241,5.8,899,1,3205.72,812.2,20.64033429,18.87832738,26.24679357,0.29373474778588204
53,Kentucky,Lexington,4/5/2017,Contender,9/15/2017,252,7.17,811,1,2994.2,840.2,18.74419186,16.64259171324341,26.0281019,0.28930607859536206
54,Kentucky,Lexington,8/9/2012,PGI 529,9/14/2017,263,7.75,231,343,3595.53,763.0,20.30268436,18.23484590285422,26.17955349,0.2729625
55,Kentucky,Lexington,8/9/2012,GA-505,9/15/2017,257,3.37,513,312,3538.57,418.3,21.79298968,16.323697106352313,25.23621149,0.28338423525988155
56,Kentucky,Lexington,4/5/2017,Caliber,8/12/2013,224,6.08,2225,384,3585.18,404.0,20.65697445,14.291289784840734,26.01863365,0.2729625
57,Kentucky,Lexington,4/5/2016,Arc,9/14/2017,263,3.88,958,378,3282.22,833.6,20.66623058,15.273284346459617,25.44231726,0.29234742691419713
58,Kentucky,Lexington,8/9/2012,Phoenix,8/12/2013,253,4.29,282,377,3616.09,559.8,19.4706527,15.860350824540774,23.71442558,0.27623909540576636
