,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Kentucky,Lexington,4/5/2016,Ameristand 403T,9/15/2017,250,7.79,261,335,2433.29,840.7,20.57137784,15.01438484,25.98333619,0.296719487
1,Kentucky,Lexington,4/5/2017,GA-ALFG-1,9/19/2016,263,6.84,1775,332,3743.33,663.7,23.79017857,14.10914149,25.68962346,0.28941661
2,Kentucky,Lexington,3/31/2015,Ameristand 427TQ,8/20/2018,224,5.95,226,312,4823.96,811.3,20.56724507,15.85950929,26.0637225,0.288496203
3,Kentucky,Lexington,4/5/2016,AFX095005,9/19/2016,263,6.96,654,324,3339.75,469.5,23.79017857,13.10613573,25.37784338,0.30608481
4,Kentucky,Lexington,4/5/2016,Arc,9/15/2017,256,3.01,1771,339,2704.21,785.6,20.33700939,15.71785194,26.63029185,0.292747757
5,Kentucky,Lexington,4/5/2017,Arc,9/12/2018,257,5.56,568,326,3362.87,747.3,20.41582547,16.48331518,28.75697145,0.274331857
6,Kentucky,Lexington,3/31/2015,Withstand,9/19/2016,263,7.79,810,376,3545.41,795.1,23.79017857,15.47033173,25.13388928,0.313480989
7,Kentucky,Lexington,3/31/2015,Ameristand 403T Plus,8/12/2013,244,7.79,374,53,2212.3,740.3,23.76498801,14.17677054,24.60119962,0.288235727
8,Kentucky,Lexington,8/9/2012,GA-ALFG-1,9/17/2015,263,6.6,1980,365,3470.56,776.7,20.56662864,16.04402236,22.59871398,0.30279979
9,Kentucky,Lexington,4/5/2017,AFX095026,9/14/2017,255,5.32,1297,335,3345.45,853.1,20.27851311,14.60590755,26.15452799,0.294456536
10,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,9/15/2017,256,3.17,1339,370,3549.28,874.6,20.5199987,13.13286019,24.41105795,0.282474244
11,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/13/2018,259,7.79,130,1,3549.44,793,21.68831424,15.68148577,26.1976472,0.304781942
12,Kentucky,Lexington,8/9/2012,Contender,9/18/2014,263,5.1,130,1,2316.1,1043.2,23.11342817,15.10801511,25.59891894,0.275296236
13,Kentucky,Lexington,8/9/2012,Fierce,9/17/2015,258,7.55,2225,354,1856.67,807.1,23.79017857,15.37487193,25.41855522,0.295491038
14,Kentucky,Lexington,8/9/2012,Caliber,9/16/2015,263,5.75,887,356,3222.64,404,21.42927571,14.25956303,25.40771742,0.290507007
15,Kentucky,Lexington,4/5/2017,GA-505,9/18/2014,263,6.34,570,353,4239.02,737.8,20.74769033,14.09509987,24.68280703,0.28617985
16,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,9/12/2018,263,6.6,944,342,4756.69,688.2,19.72912154,16.16268443,25.87012134,0.313446618
17,Kentucky,Lexington,4/5/2017,Saranac AR,8/12/2013,254,3.74,917,1,3411.17,436.7,20.51966249,13.37135652,27.41755746,0.295061531
18,Kentucky,Lexington,8/9/2012,Saranac AR,8/20/2018,257,7.45,130,1,3370.41,828.9,20.65887199,18.87832738,25.04971266,0.307304912
19,Kentucky,Lexington,8/9/2012,Buffalo,9/13/2018,263,6.67,2225,5,3551.92,745.1,20.80982967,12.61707097,25.81340607,0.285898993
20,Kentucky,Lexington,4/5/2016,AFX095005,9/15/2017,259,6.22,130,324,1856.67,648.5,23.79017857,15.5843567,26.06887915,0.297264015
