,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Kentucky,Lexington,4/5/2017,Rebound 6XT,9/19/2016,224,6.05,807,1,3142.08,760.8,20.07401686,15.686412639970683,23.90409325,0.2851498311169635
1,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,9/15/2017,260,6.06,2189,1,3440.31,594.8,20.5610994,16.441901230853333,25.21672945,0.28951301267616986
2,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/15/2017,260,5.97,130,374,3135.47,487.5,19.52885281,18.87832738,22.59871398,0.30321938416418853
3,Kentucky,Lexington,4/5/2016,Saranac AR,9/15/2017,260,6.3,2225,341,3119.51,864.3,23.18012468,14.61947852449377,25.78446308,0.27980946909514615
4,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/16/2015,261,5.88,1161,1,3372.79,900.5,20.14852302,15.852053691741924,25.940453,0.28432121815656874
5,Kentucky,Lexington,8/9/2012,GA-ALFG-1,9/16/2015,224,5.31,1024,368,3043.7,1043.2,20.50222868,16.02665751593799,26.0765036,0.2799549629512844
6,Kentucky,Lexington,4/5/2016,Ameristand 427TQ,9/13/2018,255,3.39,974,347,3225.61,846.6,19.56444459,15.280857810353304,25.97293628,0.28351975505016475
7,Kentucky,Lexington,8/9/2012,CW 065030,9/13/2018,252,5.2,220,396,4006.68,735.3,20.55035413,16.190015449300812,26.36473855,0.2911072170817439
8,Kentucky,Lexington,4/5/2016,Evermore,9/12/2018,255,5.51,905,394,3260.71,668.4,20.63912453,16.08353535952984,25.67075564,0.2729625
9,Kentucky,Lexington,4/5/2016,Saranac AR,9/16/2015,260,7.45,849,375,3260.06,958.4,20.61232822,14.789981050481336,24.92721346,0.2830171058027491
10,Kentucky,Lexington,8/9/2012,Evermore,9/15/2017,255,7.79,2146,1,3572.02,864.9,21.31551561,13.980950089292135,25.18938239,0.2940513069482443
11,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,9/19/2016,262,6.03,1042,1,3124.7,839.9,20.68625997,15.51533230441587,25.58696667,0.2729625
12,Kentucky,Lexington,3/31/2015,Rebound 6XT,9/15/2017,252,7.08,1243,1,3322.73,876.2,21.29608958,16.387219007365328,25.45411612,0.2890506170232518
13,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,9/16/2015,263,3.62,641,381,3281.4,912.3,18.57709004,15.12908933631964,25.39695153,0.2729625
14,Kentucky,Lexington,4/5/2016,Withstand,9/19/2016,256,7.07,1181,339,3369.85,918.0,20.57293691,14.199666090926,25.5639513,0.2942239426574028
15,Kentucky,Lexington,8/9/2012,Arc,9/19/2016,256,7.79,684,8,4009.91,795.9,20.93317331,16.51391701088543,24.95255497,0.2729625
16,Kentucky,Lexington,8/9/2012,AM-09-600,9/17/2015,261,7.14,1304,394,3207.65,653.5,21.58352593,16.548239700156017,26.03311394,0.29895775146291204
17,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,253,7.79,263,354,3219.22,427.0,20.79694013,16.33609035592957,26.40151232,0.2729625
18,Kentucky,Lexington,8/9/2012,GA-505,9/14/2017,252,5.91,633,380,3066.29,810.3,21.38824769,14.068882656030576,25.45635295,0.28293751407677414
19,Kentucky,Lexington,4/5/2017,Ameristand 403T Plus,9/19/2016,262,7.79,793,394,3197.11,840.1,20.39246775,15.462679968418696,26.10289002,0.29721955570290365
20,Kentucky,Lexington,8/9/2012,Fierce,9/14/2017,257,6.28,953,335,4823.96,783.9,19.46225078,15.997888982458667,25.72294683,0.29354603895316933
21,Kentucky,Lexington,8/9/2012,55V50,9/14/2017,258,6.63,957,381,3164.92,802.6,23.79017857,16.008350531482378,25.27680538,0.2810251968125416
22,Kentucky,Lexington,4/5/2016,4030,9/12/2018,263,6.32,511,374,3485.18,620.4,20.49172802,14.110740582646956,26.6453591,0.2796821818054614
23,Kentucky,Lexington,8/9/2012,Withstand,9/13/2018,255,7.79,620,337,3338.21,738.5,21.27603946,15.937225405216767,26.11882065,0.3013320405355618
24,Kentucky,Lexington,4/5/2016,FSG-426,9/18/2014,263,7.79,2225,343,3249.61,863.5,20.92138503,18.87832738,26.32405127,0.2969976038599665
25,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,254,5.75,1278,344,3199.65,838.7,23.79017857,15.628040690782809,26.38314695,0.2864876540910394
26,Kentucky,Lexington,4/5/2016,GA-ALFG-1,9/13/2018,263,6.06,768,349,3420.94,646.9,20.15145002,14.477236326180764,25.14045198,0.2804364703871629
27,Kentucky,Lexington,3/31/2015,AFX095026,9/12/2018,259,7.55,751,5,3234.55,799.5,17.60733333,16.04801106626199,25.29250249,0.2927993885375974
28,Kentucky,Lexington,8/9/2012,CW 065030,9/16/2015,257,7.79,2225,373,3326.72,749.3,20.32551452,16.542427887731503,23.96732317,0.2908388619319499
29,Kentucky,Lexington,4/5/2017,Rebound 6XT,9/18/2014,261,5.37,940,326,3168.36,819.2,21.73392857,16.441604841936407,25.09056903,0.3056447544261343
30,Kentucky,Lexington,8/9/2012,GA-505,9/14/2017,261,6.08,583,339,3462.21,674.3,19.32372698,16.09679729782009,25.3902318,0.28163754287660947
31,Kentucky,Lexington,8/9/2012,GA-505,9/16/2015,253,7.79,2225,1,3307.67,404.0,21.3445584,14.39805371220115,25.16441895,0.2890269109660524
32,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,260,7.11,1845,370,3043.0,1043.2,20.57095274,15.56913442271486,25.36207367,0.28638242748842124
33,Kentucky,Lexington,4/5/2016,LS 905,9/14/2017,261,6.06,1700,370,2556.01,811.2,20.61811804,18.87832738,24.76810907,0.29297478412605155
34,Kentucky,Lexington,4/5/2017,AM-09-600,9/12/2018,253,7.79,1325,368,3209.87,803.1,21.5432249,14.591126476729082,26.3659384,0.28856044012100396
35,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,9/15/2017,254,4.82,697,369,3201.85,992.8,20.51986076,15.52375571311627,26.02167999,0.2991084454332164
36,Kentucky,Lexington,4/5/2016,NF11ALF006,9/17/2015,257,5.43,130,395,3022.25,638.6,20.60869651,15.823433409961861,26.50064667,0.2729625
37,Kentucky,Lexington,4/5/2016,Saranac AR,9/13/2018,260,4.46,872,1,3426.64,821.6,19.89507568,16.14349748512415,25.18270441,0.28923875516008307
38,Kentucky,Lexington,8/9/2012,GA-505,9/16/2015,253,6.23,1703,1,3064.17,636.5,22.08369463,14.323954959605487,24.75733019,0.29062029717480625
39,Kentucky,Lexington,8/9/2012,Ameristand 427TQ,9/13/2018,263,7.13,1954,1,3374.33,826.4,20.36864158,16.500326271295773,24.02317889,0.2956017878273083
40,Kentucky,Lexington,3/31/2015,4030,9/12/2018,263,7.25,130,76,3371.72,804.0,21.11868601,16.320817473851413,26.14795982,0.27954417958245426
41,Kentucky,Lexington,8/9/2012,Saranac AR,9/15/2017,258,5.31,889,328,3122.48,404.0,21.47816331,18.87832738,26.39247968,0.2830874365130082
42,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,252,6.91,1152,358,3418.67,826.3,23.79017857,15.838545218130859,25.25390067,0.2855960518078278
43,Kentucky,Lexington,4/5/2017,CW 065030,9/15/2017,252,2.96,1526,54,3778.75,850.1,20.3531043,18.213606120669763,25.23464282,0.28676258637104146
