,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Georgia,Midville,2/21/2008,Hybri Force 700,11/20/2008,326,5.24,300,89,4685.3,599.974,45.38023042,15.692692999999998,26.19026488,0.4000522727052827
1,Georgia,Tifton,2/21/2008,PGI 909,11/11/2008,341,5.23,300,225,4897.96,733.3158170426227,20.80892696,105.98888659999999,140.56837664,0.116674048
2,Georgia,Midville,11/1/2007,Hybri Force 600,11/17/2010,321,4.42,1000,271,5308.49,599.974,138.9297511,24.714482989451568,26.19026488,0.116674048
3,Georgia,Midville,2/21/2008,BaraWet 501,11/17/2010,331,2.27,725,390,3570.02,599.974,47.95506537,15.692692999999998,57.17082316,0.116674048
4,Georgia,Tifton,11/1/2007,PGI 801,12/7/2009,307,6.03,855,390,5100.51,723.4108031073395,20.58125727,15.692692999999998,161.31996796,0.116674048
5,Georgia,Tifton,11/1/2007,Attention II,8/14/2009,226,2.27,740,325,5100.18,599.974,40.60592869,18.258317583189097,26.19026488,0.116674048
6,Georgia,Tifton,2/21/2008,TS 8031,11/11/2008,226,2.69,591,390,3594.94,599.974,53.86570486,29.834672508084402,26.19026488,0.116674048
7,Georgia,Tifton,2/21/2008,PGI 801,11/17/2010,341,6.03,605,382,5320.75,725.3094660897519,36.93572877,15.692692999999998,98.90506205,0.16682421923488372
8,Georgia,Midville,2/21/2008,Bulldog 805,11/11/2008,226,4.92,509,390,4819.48,1323.896,138.9297511,19.06073831750221,26.19026488,0.116674048
9,Georgia,Tifton,11/1/2007,BaraWet 501,11/20/2008,292,3.48,649,191,5091.96,599.974,35.37385767,25.35364131614606,176.8482793,0.116674048
10,Georgia,Tifton,2/21/2008,TS 8031,11/17/2010,322,2.27,581,303,4916.18,636.0235891148396,37.23437844,15.692692999999998,103.04380821,0.116674048
11,Georgia,Tifton,2/21/2008,Bara 503,11/11/2008,320,4.69,591,390,5161.45,663.9001860074354,39.1015327,27.682789869329525,26.19026488,0.1790696557336017
