,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Georgia,Tifton,11/1/2007,Attention II,11/11/2008,331,4.01,264,25,5320.75,599.974,40.52921489,16.70942682298187,49.33001453,0.2149077866131602
1,Georgia,Midville,11/1/2007,GA-505,12/7/2009,341,4.04,287,74,4010.03,806.9949723112404,26.77194898,28.014137462905353,141.36067292,0.116674048
2,Georgia,Midville,2/21/2008,Hybri Force 700,11/11/2008,325,3.74,754,390,5320.75,667.3930659259445,20.58125727,19.679619614740457,26.19026488,0.6722131990000001
3,Georgia,Tifton,2/21/2008,Bulldog 805,12/7/2009,312,3.83,672,125,4912.03,799.3636033030648,79.88689036,21.0530339153234,32.68845754,0.21305229977333895
4,Georgia,Tifton,2/21/2008,Attention II,11/17/2010,303,5.27,719,28,3400.1,632.0480315933046,138.9297511,15.692692999999998,26.19026488,0.116674048
5,Georgia,Tifton,2/21/2008,TS 8031,11/11/2008,307,3.55,495,0,4291.36,1283.7440817669167,22.61843775,15.692692999999998,83.17232228,0.116674048
6,Georgia,Tifton,11/1/2007,GA-505,12/7/2009,333,6.03,563,105,3400.1,630.0976939317212,69.63528585,32.59964739853622,26.19026488,0.6722131990000001
7,Georgia,Midville,2/21/2008,CW 36106,8/14/2009,313,6.03,264,9,5320.75,1323.896,36.55849522,21.571705435877057,88.27684732,0.27926584748300853
8,Georgia,Tifton,11/1/2007,BaraWet 501,11/11/2008,323,2.27,731,357,5114.78,599.974,35.40182781,17.120032581427218,38.27452839,0.19888565017575038
9,Georgia,Tifton,11/1/2007,Hybri Force 700,11/11/2008,329,4.81,430,357,5320.75,752.1471234008135,20.58125727,105.98888659999999,27.3318586,0.12444022557098067
10,Georgia,Tifton,2/21/2008,PGI 801,12/7/2009,310,5.88,582,312,3922.81,1176.2230580252751,88.87424323,28.499242123745063,162.50213391,0.6486815169420149
11,Georgia,Tifton,2/21/2008,Hybri Force 600,11/20/2008,334,5.97,264,389,5320.75,1061.8460797664834,20.58125727,105.98888659999999,42.77478282,0.6588077885647896
12,Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,332,3.82,264,0,4080.33,599.974,81.51317949,101.13129497480755,176.8482793,0.116674048
13,Georgia,Tifton,2/21/2008,CW 36106,11/20/2008,333,6.03,1000,0,3481.97,599.974,106.04091689,80.05150271491722,176.8482793,0.15880857883235752
14,Georgia,Tifton,11/1/2007,Attention II,8/14/2009,341,4.45,500,212,4070.1,664.384519337784,138.9297511,28.52987245737235,167.32948867,0.116674048
15,Georgia,Tifton,2/21/2008,Hybri Force 700,11/11/2008,335,3.22,445,357,4224.36,679.2044440639194,78.33360998,15.692692999999998,26.19026488,0.116674048
16,Georgia,Midville,2/21/2008,PGI 909,11/11/2008,332,2.27,582,390,3835.97,1168.524315251239,138.9297511,105.98888659999999,124.82447162,0.2936972205853459
17,Georgia,Midville,2/21/2008,PGI 801,12/7/2009,289,3.69,264,153,3753.58,599.974,42.24435205,15.692692999999998,36.79442051,0.2191212158861299
18,Georgia,Tifton,11/1/2007,Bara 503,11/20/2008,327,4.09,279,378,5320.75,599.974,20.58125727,105.98888659999999,176.8482793,0.6722131990000001
19,Georgia,Midville,2/21/2008,Bara 503,11/17/2010,324,4.08,322,0,3400.1,599.974,111.34917858,15.692692999999998,62.91887686,0.20998987140210387
20,Georgia,Midville,2/21/2008,PGI 801,12/7/2009,323,2.27,1000,390,5320.75,599.974,24.72668577,95.7140534862168,176.8482793,0.2146305650040654
21,Georgia,Midville,11/1/2007,Bara 503,12/7/2009,299,3.07,555,116,5320.75,599.974,127.74225034,15.692692999999998,176.8482793,0.13744669631243342
22,Georgia,Midville,2/21/2008,GA-505,8/14/2009,318,2.27,977,66,4531.02,655.3696013720989,20.58125727,20.325309121063174,26.19026488,0.16883783723977883
23,Georgia,Midville,11/1/2007,BaraWet 501,11/20/2008,335,2.27,264,0,4870.61,885.2715936451925,29.57291822,105.98888659999999,52.65356289,0.116674048
24,Georgia,Tifton,2/21/2008,Hybri Force 600,11/11/2008,334,2.27,589,390,3822.58,1314.8829270413905,72.75434327,15.692692999999998,176.8482793,0.116674048
25,Georgia,Tifton,2/21/2008,TS 8031,11/20/2008,328,2.85,514,226,5320.75,994.1010786160144,127.65442565,15.692692999999998,176.8482793,0.21803087240925426
26,Georgia,Tifton,2/21/2008,Bara 503,8/14/2009,341,2.27,565,131,4921.21,1130.971130763152,25.45399876,33.928687697258056,26.19026488,0.16920708623506492
27,Georgia,Tifton,2/21/2008,TS 8031,12/7/2009,341,5.05,394,233,3625.8,599.974,138.9297511,15.692692999999998,176.8482793,0.2066655502267301
28,Georgia,Tifton,2/21/2008,GA-505,11/11/2008,341,3.97,372,200,3400.1,1136.9707110624015,98.40160725,57.00725388442476,176.8482793,0.13336053166023287
29,Georgia,Tifton,2/21/2008,BaraWet 501,8/14/2009,309,3.61,950,0,4639.51,693.8750344124238,20.58125727,20.82726982658637,30.22009227,0.5327172820069723
30,Georgia,Tifton,11/1/2007,Bulldog 805,12/7/2009,328,2.27,476,19,4349.76,670.462954659313,20.58125727,105.98888659999999,176.8482793,0.6054673939730408
31,Georgia,Midville,2/21/2008,Hybri Force 600,12/7/2009,324,3.56,264,106,3786.75,1323.896,138.9297511,16.472748146213565,176.8482793,0.14638285416922694
32,Georgia,Tifton,2/21/2008,PGI 909,12/7/2009,296,6.01,264,175,4976.24,699.1131928003828,37.49603295,88.60230511052491,176.8482793,0.6335769186066421
33,Georgia,Tifton,2/21/2008,Hybri Force 600,11/11/2008,309,4.46,264,0,4196.08,660.1462437595784,20.58125727,15.692692999999998,36.19912338,0.1460786427027175
34,Georgia,Tifton,2/21/2008,BaraWet 501,11/20/2008,336,6.03,624,91,4311.54,712.598516262502,20.58125727,25.1066109383489,176.8482793,0.23688340705819302
35,Georgia,Tifton,2/21/2008,Bulldog 805,12/7/2009,335,4.61,338,270,3400.1,744.5375220851624,83.96571054,105.98888659999999,41.12970373,0.17782698656019738
36,Georgia,Tifton,2/21/2008,Bara 503,8/14/2009,337,4.82,264,59,4559.33,722.0804878450078,117.74376741,15.692692999999998,108.12115592,0.2792710724325929
37,Georgia,Tifton,11/1/2007,Hybri Force 600,8/14/2009,324,2.27,264,0,3902.39,1323.896,30.05342418,71.53488425249,93.50592058,0.116674048
38,Georgia,Tifton,2/21/2008,TS 8031,11/20/2008,341,3.03,756,0,4341.26,668.4048903037975,138.9297511,81.83687988965522,163.51559979,0.2893636424120286
39,Georgia,Midville,2/21/2008,Bara 503,11/11/2008,321,6.03,593,126,5320.75,690.5289200781236,135.23582805,15.692692999999998,164.41324841,0.116674048
40,Georgia,Tifton,2/21/2008,GA-505,8/14/2009,292,5.32,373,0,4211.17,603.9583751229901,20.58125727,105.98888659999999,45.50703325,0.116674048
