,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Georgia,Midville,2/21/2008,Bulldog 805,8/14/2009,321,6.03,264,232,4932.88,780.2034167242324,20.58125727,21.218491171921595,26.19026488,0.116674048
1,Georgia,Tifton,2/21/2008,TS 8031,11/11/2008,309,5.55,351,328,4166.39,747.8878544924653,104.18238921,15.692692999999998,26.19026488,0.116674048
2,Georgia,Tifton,2/21/2008,Bara 503,11/11/2008,341,2.44,951,321,3570.13,698.528189017596,25.59534095,15.692692999999998,176.8482793,0.116674048
3,Georgia,Tifton,2/21/2008,CW 36106,11/11/2008,327,2.27,580,242,5320.75,712.3885044039317,20.58125727,15.692692999999998,40.90151008,0.116674048
4,Georgia,Tifton,2/21/2008,Attention II,8/14/2009,341,4.97,626,390,4165.1,705.0666567316956,112.95277416,15.692692999999998,35.24670603,0.116674048
5,Georgia,Tifton,2/21/2008,PGI 801,8/14/2009,341,6.03,264,216,4585.28,858.2778264319222,28.65116385,15.692692999999998,26.19026488,0.116674048
6,Georgia,Midville,2/21/2008,Hybri Force 600,12/7/2009,336,3.24,1000,254,4096.61,599.974,20.58125727,22.817192315604665,60.25453939,0.13792232465320267
7,Georgia,Midville,11/1/2007,Bulldog 805,12/7/2009,317,4.21,959,325,5320.75,678.8648662802049,20.74872514,15.817243444707369,26.19026488,0.2993767565274143
8,Georgia,Tifton,2/21/2008,Hybri Force 700,12/7/2009,321,6.03,633,346,5320.75,745.6017321961152,32.77845717,24.44415899922748,35.29741346,0.1185269198397978
9,Georgia,Tifton,2/21/2008,PGI 801,12/7/2009,322,5.74,627,184,5320.75,621.1502189294077,32.84630445,15.692692999999998,26.19026488,0.116674048
10,Georgia,Tifton,11/1/2007,Bara 503,11/11/2008,319,5.18,774,32,5320.75,599.974,20.58125727,26.383398307813547,42.29576146,0.116674048
