,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,2/21/2008,BaraWet 501,11/20/2008,341,2.27,1000,0,3486.67,826.7280012653243,138.9297511,25.748938946874375,26.19026488,0.5799604909226328
1,1,Georgia,Tifton,2/21/2008,TS 8031,11/11/2008,341,5.69,829,0,4024.08,888.7323663791428,42.14403424,105.98888659999999,105.61250585,0.116674048
2,2,Georgia,Midville,11/1/2007,GA-505,8/14/2009,274,5.54,641,390,3671.06,733.5955764867391,27.12914838,15.692692999999998,44.47678563,0.1888008304508663
3,3,Georgia,Tifton,2/21/2008,Attention II,12/7/2009,305,2.5,990,147,3943.93,1240.6169962294398,20.58125727,68.4818995883385,34.29441911,0.1768661263694686
4,4,Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,341,4.08,319,0,4109.88,821.1455081137888,20.58125727,15.692692999999998,174.80936053,0.116674048
5,5,Georgia,Tifton,2/21/2008,Bara 503,12/7/2009,341,3.59,699,177,4907.51,1323.896,20.58125727,15.692692999999998,125.56197721,0.24020590746247986
6,6,Georgia,Tifton,2/21/2008,TS 8031,12/7/2009,266,2.4,561,0,4144.09,835.6687516849286,124.57223085,15.692692999999998,26.19026488,0.5643003990039414
7,7,Georgia,Tifton,11/1/2007,BaraWet 501,11/17/2010,277,3.75,1000,343,5149.15,857.9927900081196,107.2453691,89.4961172195473,67.35215827,0.4099547562984286
8,8,Georgia,Tifton,11/1/2007,Hybri Force 600,11/11/2008,341,2.27,568,59,5320.75,801.0757086626994,27.68974995,39.18181047395737,131.13584683,0.116674048
9,9,Georgia,Midville,2/21/2008,Bulldog 805,11/20/2008,341,6.03,519,0,4752.07,718.6170995100421,20.58125727,105.98888659999999,40.73794431,0.12250719189902615
10,10,Georgia,Tifton,11/1/2007,PGI 909,11/20/2008,341,2.27,790,0,5320.75,1323.896,138.9297511,15.692692999999998,92.11724358,0.19895988552826466
11,11,Georgia,Midville,2/21/2008,CW 36106,11/11/2008,341,2.27,554,0,3400.1,1323.896,20.58125727,15.692692999999998,36.39410745,0.23182031598835146
12,12,Georgia,Tifton,2/21/2008,Attention II,8/14/2009,341,5.47,1000,390,5320.75,1323.896,20.63638532,30.205565439340592,64.74299203,0.6722131990000001
13,13,Georgia,Midville,11/1/2007,TS 8031,11/20/2008,341,2.79,795,178,5320.75,770.1084215106291,138.9297511,15.692692999999998,155.36328412,0.40929894993684124
14,14,Georgia,Midville,11/1/2007,TS 8031,11/17/2010,270,2.7,787,0,4997.84,907.5030410100755,123.1389948,49.59196991758436,26.19026488,0.2142922486465583
15,15,Georgia,Tifton,2/21/2008,Attention II,11/11/2008,244,5.49,729,0,3616.07,1323.896,20.58125727,97.1396019821406,176.8482793,0.116674048
16,16,Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,332,2.49,770,71,4332.82,1323.896,20.58125727,15.692692999999998,36.8373392,0.6174302228805371
17,17,Georgia,Midville,11/1/2007,Bulldog 805,12/7/2009,341,4.33,649,0,4494.7,829.8305975964756,20.58125727,30.627569565694913,108.17023685,0.2034847967076921
18,18,Georgia,Tifton,2/21/2008,Hybri Force 700,11/20/2008,341,2.27,693,59,5320.75,703.0763743246448,31.13589429,15.692692999999998,42.52797401,0.6722131990000001
19,19,Georgia,Midville,2/21/2008,PGI 801,11/11/2008,308,2.27,778,198,3521.71,1323.896,40.70794674,87.30359550372079,26.19026488,0.13336654164950607
20,20,Georgia,Midville,2/21/2008,PGI 801,12/7/2009,293,5.6,676,0,5180.24,1323.896,103.19596806,34.32101773101375,38.41231807,0.116674048
21,21,Georgia,Midville,2/21/2008,BaraWet 501,8/14/2009,341,2.4,264,134,4134.01,1135.801919851052,135.83788285,15.692692999999998,28.20522671,0.23471779571994889
22,22,Georgia,Tifton,11/1/2007,Bara 503,11/20/2008,341,6.03,1000,0,5320.75,858.0732029429118,20.58125727,87.22175632535486,38.39173188,0.2800766701231793
23,23,Georgia,Tifton,2/21/2008,Bulldog 805,8/14/2009,341,2.27,535,2,5320.75,599.974,20.58125727,23.95660468158972,26.19026488,0.1568221191658843
24,24,Georgia,Midville,2/21/2008,GA-505,12/7/2009,341,4.45,1000,50,3960.1,747.2817209022255,20.58125727,105.98888659999999,26.19026488,0.12925873025464107
25,25,Georgia,Tifton,11/1/2007,BaraWet 501,12/7/2009,289,2.27,299,0,5067.92,792.3947563910308,59.77161288,105.98888659999999,87.35157929,0.5114230297292981
26,26,Georgia,Tifton,11/1/2007,Bulldog 805,11/11/2008,328,3.21,762,28,5207.74,667.0428096005965,109.80454048,40.206235949842124,98.64763922,0.591115110135832
27,27,Georgia,Tifton,2/21/2008,CW 36106,12/7/2009,341,5.41,535,372,4609.68,680.543878402805,38.25585252,105.98888659999999,26.19026488,0.116674048
28,28,Georgia,Tifton,2/21/2008,Attention II,8/14/2009,341,3.23,781,0,4592.83,700.1143179846475,26.68507598,25.73706073603613,151.83398084,0.24274704529084723
29,29,Georgia,Midville,2/21/2008,Bulldog 805,12/7/2009,341,5.94,695,55,5320.75,599.974,28.00248255,89.7851154531756,27.94481952,0.6722131990000001
30,30,Georgia,Midville,2/21/2008,Attention II,11/11/2008,303,4.2,551,0,3400.1,599.974,20.58125727,15.692692999999998,115.66931977,0.5245068070909396
31,31,Georgia,Midville,2/21/2008,CW 36106,8/14/2009,341,2.27,576,267,5164.66,682.019458590828,20.58125727,50.274649591173066,176.8482793,0.6144052854289662
32,32,Georgia,Tifton,2/21/2008,Hybri Force 700,11/20/2008,341,2.27,623,78,3855.14,1323.896,83.36006612,19.144073239638615,49.1815814,0.6722131990000001
33,33,Georgia,Tifton,2/21/2008,CW 36106,11/17/2010,325,2.27,727,0,3852.06,935.641052954586,24.08804301,15.692692999999998,39.17486548,0.2888125305296709
34,34,Georgia,Tifton,11/1/2007,Bara 503,11/17/2010,341,2.27,264,298,4212.93,705.3134808865204,20.58125727,20.8640297701927,176.8482793,0.5088144249295754
35,35,Georgia,Midville,2/21/2008,CW 36106,11/17/2010,226,2.27,829,0,4276.69,1323.896,20.58125727,93.26403456592115,27.53788465,0.188113276080273
36,36,Georgia,Tifton,11/1/2007,PGI 909,8/14/2009,341,2.27,797,251,5112.76,614.434701252944,73.46496479,100.13874116970705,176.8482793,0.6044095432687348
37,37,Georgia,Tifton,2/21/2008,Attention II,11/17/2010,341,4.22,1000,0,3400.1,1323.896,20.58125727,27.993574343840606,176.8482793,0.4597380819139739
38,38,Georgia,Tifton,2/21/2008,Bara 503,11/17/2010,334,2.27,829,108,5320.75,1287.3099994866548,119.49452776,30.439018607071844,141.898544,0.47489896898653916
39,39,Georgia,Midville,2/21/2008,Hybri Force 600,11/20/2008,341,6.03,1000,390,4953.49,710.17806531698,20.58125727,105.98888659999999,176.8482793,0.116674048
40,40,Georgia,Midville,2/21/2008,Hybri Force 700,12/7/2009,341,3.45,395,251,4387.21,1323.896,138.9297511,19.38723142267727,26.19026488,0.13023520221703816
41,41,Georgia,Midville,2/21/2008,Attention II,8/14/2009,226,3.02,742,311,4146.84,750.445858764604,107.25625321,15.692692999999998,140.68811558,0.21555744914411443
42,42,Georgia,Tifton,2/21/2008,BaraWet 501,11/17/2010,341,2.64,414,390,3400.1,1323.896,20.58125727,15.692692999999998,88.19375112,0.16127888660448877
43,43,Georgia,Midville,11/1/2007,PGI 909,11/17/2010,284,4.42,722,247,4498.44,1323.896,34.08406467,24.305377192843867,26.19026488,0.14037382644753255
